                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2005-03-06T00:01:12.411,              8.2850E-02,              6.5743E-02,              4.2586E-02,              3.2243E-02,              2.4923E-02,              1.4418E-02,              9.0797E-03,              5.4856E-03,              2.8234E-03,              1.8095E-03,              1.3357E-03,              1.0208E-03,              7.7677E-04,         5.0,            2.4024E+01,            1.4451E+01,            7.6234E+00,            5.0130E+00,            4.4909E+00,            3.6090E+00,            2.8594E+00,            2.2825E+00,            1.7433E+00,            1.5181E+00,         5.0
2005-03-06T00:03:44.411,              1.3466E-01,              1.0684E-01,              6.4654E-02,              4.7736E-02,              3.5331E-02,              2.3613E-02,              1.5323E-02,              8.2354E-03,              4.1543E-03,              2.3582E-03,              1.6226E-03,              1.2172E-03,              9.2042E-04,         5.0,            7.1761E+01,            4.4579E+01,            2.3738E+01,            1.4286E+01,            9.1521E+00,            5.9475E+00,            3.8922E+00,            3.1077E+00,            2.3741E+00,            2.0678E+00,         5.0
2005-03-06T00:06:11.411,              7.5824E-02,              6.0199E-02,              4.2922E-02,              3.3609E-02,              2.6866E-02,              1.9494E-02,              1.3606E-02,              6.7653E-03,              3.4300E-03,              2.2419E-03,              1.6339E-03,              1.2367E-03,              9.3563E-04,         5.0,            4.4765E+01,            2.5142E+01,            1.4695E+01,            8.0172E+00,            6.3654E+00,            5.1035E+00,            4.0358E+00,            3.2169E+00,            2.4543E+00,            2.1355E+00,         5.0
2005-03-06T00:08:47.912,              1.0325E-01,              8.1933E-02,              5.3023E-02,              4.0563E-02,              3.2102E-02,              2.4295E-02,              1.7611E-02,              8.6780E-03,              4.3987E-03,              2.8418E-03,              2.0035E-03,              1.4581E-03,              1.0676E-03,         5.0,            1.0982E+01,            7.4523E+00,            6.3018E+00,            5.8105E+00,            5.1917E+00,            4.1631E+00,            3.2926E+00,            2.6248E+00,            2.0028E+00,            1.7427E+00,         5.0
2005-03-06T00:11:15.412,              7.4056E-02,              5.8775E-02,              3.9909E-02,              3.2231E-02,              2.6011E-02,              2.0037E-02,              1.4600E-02,              7.2635E-03,              3.6593E-03,              2.3969E-03,              1.7233E-03,              1.2855E-03,              9.6330E-04,         5.0,            1.4741E+01,            7.5904E+00,            6.4192E+00,            5.9393E+00,            5.3235E+00,            4.2801E+00,            3.3923E+00,            2.7087E+00,            2.0694E+00,            1.8023E+00,         5.0
2005-03-06T00:13:52.412,              1.1893E-01,              9.4389E-02,              5.6307E-02,              4.2415E-02,              3.3808E-02,              2.5656E-02,              1.8234E-02,              9.1118E-03,              4.4722E-03,              2.7071E-03,              1.8898E-03,              1.4016E-03,              1.0422E-03,         5.0,            7.7621E+01,            4.2167E+01,            2.3286E+01,            1.1701E+01,            6.1445E+00,            4.9376E+00,            3.9120E+00,            3.1229E+00,            2.3854E+00,            2.0774E+00,         5.0
2005-03-06T00:16:24.412,              1.0066E-01,              7.9880E-02,              5.5994E-02,              4.2554E-02,              3.3500E-02,              2.4314E-02,              1.6428E-02,              7.8206E-03,              3.9274E-03,              2.3016E-03,              1.6124E-03,              1.2235E-03,              9.3462E-04,         5.0,            9.9434E+00,            6.7513E+00,            5.7138E+00,            5.2730E+00,            4.7153E+00,            3.7837E+00,            2.9942E+00,            2.3880E+00,            1.8227E+00,            1.5865E+00,         5.0
2005-03-06T00:18:50.912,              8.4520E-02,              6.7079E-02,              4.1140E-02,              3.1025E-02,              2.5035E-02,              1.8133E-02,              1.2674E-02,              6.6624E-03,              3.3366E-03,              2.1282E-03,              1.5361E-03,              1.1596E-03,              8.7766E-04,         5.0,            5.7145E+01,            3.1803E+01,            1.8609E+01,            9.8969E+00,            5.5454E+00,            4.4476E+00,            3.5182E+00,            2.8051E+00,            2.1405E+00,            1.8627E+00,         5.0
2005-03-06T00:21:28.412,              1.1496E-01,              9.1229E-02,              5.8248E-02,              4.4354E-02,              3.4918E-02,              1.8214E-02,              1.0952E-02,              6.8030E-03,              3.4553E-03,              2.1801E-03,              1.6124E-03,              1.2331E-03,              9.3411E-04,         5.0,            6.9910E+01,            4.3665E+01,            2.3386E+01,            1.3891E+01,            8.2728E+00,            5.0313E+00,            3.9815E+00,            3.1754E+00,            2.4236E+00,            2.1094E+00,         5.0
2005-03-06T00:24:00.412,              1.0243E-01,              8.1284E-02,              5.5865E-02,              4.2329E-02,              3.1963E-02,              1.7342E-02,              1.0723E-02,              6.7465E-03,              3.4413E-03,              2.1963E-03,              1.6290E-03,              1.2444E-03,              9.4818E-04,         5.0,            1.0073E+01,            6.8502E+00,            5.8111E+00,            5.3761E+00,            4.8182E+00,            3.8735E+00,            3.0700E+00,            2.4514E+00,            1.8728E+00,            1.6312E+00,         5.0
