                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2005-09-16T00:03:00.251,              9.6468E-01,              7.1871E-01,              4.1464E-01,              2.4898E-01,              1.3820E-01,              6.8890E-02,              3.3958E-02,              1.6285E-02,              3.9965E-03,              2.3570E-03,              1.3900E-03,              8.1978E-04,              4.8347E-04,         0.0,            2.1618E+03,            6.8499E+02,            1.1564E+02,            7.6371E+01,            5.0442E+01,            3.1242E+01,            1.9518E+01,            1.2632E+01,            8.2803E+00,            6.2430E+00,         3.0
2005-09-16T00:06:39.751,              8.5015E-01,              6.7454E-01,              4.0004E-01,              2.5028E-01,              1.5488E-01,              8.3423E-02,              4.3381E-02,              1.8826E-02,              8.4739E-03,              3.8410E-03,              1.7411E-03,              7.8918E-04,              3.5772E-04,         0.0,            1.0797E+03,            4.1321E+02,            8.5301E+01,            7.8441E+01,            5.1857E+01,            3.1869E+01,            1.9798E+01,            1.2884E+01,            8.4268E+00,            6.4151E+00,         3.0
2005-09-16T00:12:23.751,              7.5534E-01,              5.9933E-01,              3.5029E-01,              2.2429E-01,              1.3045E-01,              6.4873E-02,              3.4373E-02,              1.8573E-02,              8.4228E-03,              4.0007E-03,              1.9002E-03,              9.0256E-04,              4.2869E-04,         0.0,            4.9232E+03,            1.2238E+03,            7.6349E+01,            6.9826E+01,            4.6090E+01,            2.8419E+01,            1.7703E+01,            1.1565E+01,            7.4975E+00,            5.7643E+00,         3.0
2005-09-16T00:16:04.251,              8.0632E-01,              6.3969E-01,              3.6886E-01,              2.2535E-01,              1.3374E-01,              6.5868E-02,              3.2923E-02,              1.6347E-02,              7.1041E-03,              3.0873E-03,              1.3417E-03,              5.8309E-04,              2.5340E-04,         0.0,            6.1669E+02,            2.6602E+02,            1.2228E+02,            8.0654E+01,            5.3069E+01,            3.2781E+01,            2.0512E+01,            1.3378E+01,            8.5873E+00,            6.5351E+00,         3.0
2005-09-16T00:19:44.251,              8.0542E-01,              6.3901E-01,              3.5762E-01,              2.3116E-01,              1.4081E-01,              6.8999E-02,              3.6005E-02,              1.8752E-02,              8.1819E-03,              3.8149E-03,              1.7787E-03,              8.2934E-04,              3.8668E-04,         0.0,            7.8824E+02,            3.2508E+02,            1.2489E+02,            8.2624E+01,            5.4534E+01,            3.3410E+01,            2.0931E+01,            1.3597E+01,            8.8699E+00,            6.8040E+00,         3.0
2005-09-16T00:23:23.751,              7.3348E-01,              5.8185E-01,              3.2707E-01,              2.0469E-01,              1.2090E-01,              6.6992E-02,              3.7020E-02,              1.7744E-02,              7.9133E-03,              3.7262E-03,              1.7546E-03,              8.2619E-04,              3.8903E-04,         0.0,            6.3013E+02,            2.7015E+02,            1.2113E+02,            7.9612E+01,            5.2487E+01,            3.2110E+01,            2.0049E+01,            1.3062E+01,            8.4862E+00,            6.4244E+00,         3.0
2005-09-16T00:27:04.251,              9.6066E-01,              7.6213E-01,              4.2667E-01,              2.5920E-01,              1.5055E-01,              7.7463E-02,              3.9846E-02,              1.8475E-02,              7.5388E-03,              3.0763E-03,              1.2553E-03,              5.1226E-04,              2.0903E-04,         0.0,            6.8956E+02,            2.7618E+02,            1.1936E+02,            7.8842E+01,            5.2056E+01,            3.2021E+01,            2.0002E+01,            1.2934E+01,            8.3564E+00,            6.3659E+00,         3.0
2005-09-16T00:30:44.251,              9.5173E-01,              7.4334E-01,              4.1362E-01,              2.4772E-01,              1.3589E-01,              6.3067E-02,              2.9181E-02,              1.3364E-02,              6.1202E-03,              2.8028E-03,              1.2836E-03,              5.8783E-04,              2.6921E-04,         0.0,            4.2844E+02,            2.2958E+02,            1.3168E+02,            8.6519E+01,            5.7152E+01,            3.5024E+01,            2.1999E+01,            1.4257E+01,            9.1289E+00,            6.9113E+00,         3.0
2005-09-16T00:34:20.751,              9.6290E-01,              6.3247E-01,              3.6259E-01,              2.2592E-01,              1.3788E-01,              7.5366E-02,              4.1755E-02,              2.1357E-02,              1.0924E-02,              5.5872E-03,              2.8577E-03,              1.4617E-03,              7.4761E-04,         0.0,            4.7834E+03,            1.3207E+03,            1.0843E+02,            7.1566E+01,            4.7341E+01,            2.8938E+01,            1.8086E+01,            1.1814E+01,            7.5945E+00,            5.7810E+00,         3.0
2005-09-16T00:38:00.751,              8.0343E-01,              6.3748E-01,              3.6987E-01,              2.4213E-01,              1.5557E-01,              8.8160E-02,              5.3170E-02,              2.9446E-02,              1.3406E-02,              6.6659E-03,              4.0115E-03,              2.5990E-03,              1.7216E-03,         0.0,            8.1110E+02,            2.9533E+02,            1.1083E+02,            7.3383E+01,            4.8527E+01,            2.9922E+01,            1.8751E+01,            1.2272E+01,            8.0533E+00,            6.3776E+00,         3.0
