                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-01-24T00:00:53.062,              1.0979E-01,              8.7123E-02,              5.5604E-02,              4.2458E-02,              3.3938E-02,              2.2943E-02,              1.5437E-02,              8.3871E-03,              4.2279E-03,              2.6777E-03,              1.9143E-03,              1.4233E-03,              1.0610E-03,         5.0,            4.9629E+01,            2.7197E+01,            1.5434E+01,            7.7506E+00,            5.9466E+00,            4.7779E+00,            3.7849E+00,            3.0211E+00,            2.3074E+00,            2.0093E+00,         5.0
2006-01-24T00:04:53.062,              1.3158E-01,              1.0441E-01,              6.5596E-02,              4.8895E-02,              3.7725E-02,              2.7564E-02,              1.8781E-02,              9.5853E-03,              4.7306E-03,              2.7292E-03,              1.8707E-03,              1.3858E-03,              1.0378E-03,         5.0,            5.9026E+01,            3.1268E+01,            1.6479E+01,            7.0112E+00,            5.9045E+00,            4.7419E+00,            3.7551E+00,            2.9964E+00,            2.2880E+00,            1.9920E+00,         5.0
2006-01-24T00:08:53.062,              1.0790E-01,              8.5633E-02,              5.6691E-02,              4.3504E-02,              3.3942E-02,              2.5213E-02,              1.8047E-02,              9.3360E-03,              4.6594E-03,              2.9337E-03,              2.0742E-03,              1.5356E-03,              1.1442E-03,         5.0,            3.8717E+01,            2.0484E+01,            1.0621E+01,            6.9201E+00,            6.1937E+00,            4.9738E+00,            3.9384E+00,            3.1425E+00,            2.3995E+00,            2.0890E+00,         5.0
2006-01-24T00:12:53.062,              1.0646E-01,              8.4514E-02,              5.8617E-02,              4.4571E-02,              3.5194E-02,              2.6788E-02,              1.9060E-02,              9.4974E-03,              4.6672E-03,              2.9048E-03,              2.0396E-03,              1.5041E-03,              1.1148E-03,         5.0,            5.2091E+01,            2.8132E+01,            1.5334E+01,            7.3820E+00,            6.2462E+00,            5.0139E+00,            3.9689E+00,            3.1661E+00,            2.4170E+00,            2.1040E+00,         5.0
2006-01-24T00:16:53.062,              1.1066E-01,              8.7811E-02,              5.2731E-02,              3.9719E-02,              3.0571E-02,              2.3025E-02,              1.6498E-02,              8.5842E-03,              4.3543E-03,              2.7295E-03,              1.9256E-03,              1.4317E-03,              1.0662E-03,         5.0,            4.2852E+01,            2.6384E+01,            1.4130E+01,            8.0486E+00,            6.1699E+00,            4.9449E+00,            3.9093E+00,            3.1153E+00,            2.3763E+00,            2.0673E+00,         5.0
2006-01-24T00:20:52.562,              1.2884E-01,              1.0225E-01,              6.2015E-02,              4.6285E-02,              3.5149E-02,              2.5189E-02,              1.7489E-02,              9.2164E-03,              4.5858E-03,              2.7702E-03,              1.9324E-03,              1.4300E-03,              1.0625E-03,         5.0,            7.0566E+01,            3.9319E+01,            2.3144E+01,            1.2555E+01,            6.2748E+00,            5.0329E+00,            3.9815E+00,            3.1746E+00,            2.4226E+00,            2.1083E+00,         5.0
2006-01-24T00:24:53.063,              8.9047E-02,              7.0687E-02,              4.9669E-02,              3.9287E-02,              3.1720E-02,              2.4167E-02,              1.7440E-02,              8.5657E-03,              4.2578E-03,              2.7189E-03,              1.9311E-03,              1.4307E-03,              1.0630E-03,         5.0,            3.5783E+01,            1.9997E+01,            1.1219E+01,            7.1796E+00,            6.4142E+00,            5.1428E+00,            4.0670E+00,            3.2418E+00,            2.4733E+00,            2.1520E+00,         5.0
2006-01-24T00:28:52.563,              1.0458E-01,              8.2994E-02,              5.4840E-02,              4.1839E-02,              3.3432E-02,              2.5092E-02,              1.7572E-02,              8.8118E-03,              4.4013E-03,              2.7466E-03,              1.9400E-03,              1.4423E-03,              1.0775E-03,         5.0,            7.5899E+01,            4.1643E+01,            2.3731E+01,            1.2623E+01,            6.1803E+00,            4.9634E+00,            3.9306E+00,            3.1366E+00,            2.3953E+00,            2.0856E+00,         5.0
2006-01-24T00:32:53.563,              1.1128E-01,              8.8308E-02,              5.5569E-02,              4.3444E-02,              3.5034E-02,              2.6060E-02,              1.8392E-02,              9.4145E-03,              4.7463E-03,              2.9705E-03,              2.1063E-03,              1.5730E-03,              1.1848E-03,         5.0,            3.8986E+01,            2.0738E+01,            1.0952E+01,            8.0139E+00,            7.1708E+00,            5.7571E+00,            4.5578E+00,            3.6362E+00,            2.7761E+00,            2.4167E+00,         5.0
2006-01-24T00:36:52.563,              1.4070E-01,              1.1166E-01,              7.1226E-02,              5.2066E-02,              3.8003E-02,              2.6391E-02,              1.8384E-02,              9.7928E-03,              4.9160E-03,              2.9433E-03,              2.0426E-03,              1.5100E-03,              1.1281E-03,         5.0,            5.0684E+01,            2.6937E+01,            1.4385E+01,            7.2229E+00,            6.4688E+00,            5.1975E+00,            4.1172E+00,            3.2863E+00,            2.5098E+00,            2.1855E+00,         5.0
