                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-11-27T00:03:13.586,              1.2792E-01,              1.0151E-01,              6.4359E-02,              4.9432E-02,              3.9109E-02,              2.8949E-02,              2.0810E-02,              1.0821E-02,              5.4612E-03,              3.4253E-03,              2.4093E-03,              1.7810E-03,              1.3290E-03,         5.0,            5.8520E+01,            3.1122E+01,            1.6350E+01,            9.1391E+00,            8.1835E+00,            6.5741E+00,            5.2072E+00,            4.1559E+00,            3.1739E+00,            2.7637E+00,         5.0
2006-11-27T00:07:13.586,              1.5991E-01,              1.2690E-01,              8.3003E-02,              6.2207E-02,              4.8076E-02,              3.5233E-02,              2.4665E-02,              1.2942E-02,              6.4402E-03,              3.8861E-03,              2.6813E-03,              1.9571E-03,              1.4489E-03,         5.0,            1.6592E+01,            1.1254E+01,            9.5106E+00,            8.7632E+00,            7.8253E+00,            6.2717E+00,            4.9582E+00,            3.9512E+00,            3.0140E+00,            2.6221E+00,         5.0
2006-11-27T00:11:13.587,              1.4587E-01,              1.1576E-01,              7.8879E-02,              5.8566E-02,              4.5135E-02,              3.3732E-02,              2.3465E-02,              1.2160E-02,              5.9821E-03,              3.5923E-03,              2.4818E-03,              1.8175E-03,              1.3523E-03,         5.0,            1.8456E+01,            1.0611E+01,            8.9967E+00,            8.3188E+00,            7.4521E+00,            5.9887E+00,            4.7449E+00,            3.7878E+00,            2.8933E+00,            2.5197E+00,         5.0
2006-11-27T00:15:13.587,              1.4781E-01,              1.1731E-01,              8.1963E-02,              6.0671E-02,              4.5703E-02,              3.3248E-02,              2.3123E-02,              1.2069E-02,              5.8813E-03,              3.5268E-03,              2.4520E-03,              1.8092E-03,              1.3500E-03,         5.0,            1.5324E+01,            1.0413E+01,            8.8231E+00,            8.1527E+00,            7.2989E+00,            5.8626E+00,            4.6431E+00,            3.7054E+00,            2.8297E+00,            2.4638E+00,         5.0
2006-11-27T00:19:14.087,              1.4948E-01,              1.1863E-01,              7.6840E-02,              5.8331E-02,              4.5531E-02,              3.2785E-02,              2.2868E-02,              1.1730E-02,              5.8161E-03,              3.4668E-03,              2.4135E-03,              1.7942E-03,              1.3512E-03,         5.0,            3.9959E+01,            1.9768E+01,            9.2212E+00,            8.5268E+00,            7.6388E+00,            6.1389E+00,            4.8641E+00,            3.8831E+00,            2.9661E+00,            2.5831E+00,         5.0
2006-11-27T00:23:13.587,              1.2405E-01,              9.8450E-02,              6.3535E-02,              4.8269E-02,              3.7995E-02,              2.8559E-02,              2.0267E-02,              1.0367E-02,              5.1663E-03,              3.2509E-03,              2.3093E-03,              1.7205E-03,              1.2952E-03,         5.0,            7.9953E+01,            4.2900E+01,            2.2771E+01,            9.2534E+00,            7.9680E+00,            6.4057E+00,            5.0768E+00,            4.0539E+00,            3.0972E+00,            2.6978E+00,         5.0
2006-11-27T00:27:13.587,              1.4848E-01,              1.1784E-01,              8.0003E-02,              5.8838E-02,              4.5898E-02,              3.3435E-02,              2.3431E-02,              1.2086E-02,              5.9625E-03,              3.6161E-03,              2.5142E-03,              1.8480E-03,              1.3728E-03,         5.0,            5.5438E+01,            2.7120E+01,            1.0944E+01,            8.9171E+00,            7.9783E+00,            6.4050E+00,            5.0705E+00,            4.0451E+00,            3.0882E+00,            2.6884E+00,         5.0
2006-11-27T00:31:13.587,              1.3402E-01,              1.0635E-01,              7.1544E-02,              5.3715E-02,              4.1893E-02,              2.7895E-02,              1.8569E-02,              1.0319E-02,              5.2029E-03,              3.3070E-03,              2.3899E-03,              1.7925E-03,              1.3554E-03,         5.0,            1.5592E+01,            1.0603E+01,            8.9955E+00,            8.3225E+00,            7.4593E+00,            5.9972E+00,            4.7533E+00,            3.7957E+00,            2.9000E+00,            2.5259E+00,         5.0
2006-11-27T00:37:13.587,              9.9360E-02,              7.8869E-02,              5.5330E-02,              4.4326E-02,              3.5772E-02,              2.7660E-02,              1.9932E-02,              9.9748E-03,              5.0253E-03,              3.3002E-03,              2.3900E-03,              1.7976E-03,              1.3569E-03,         5.0,            2.7371E+01,            1.4564E+01,            9.7648E+00,            9.0325E+00,            8.0941E+00,            6.5065E+00,            5.1563E+00,            4.1170E+00,            3.1451E+00,            2.7393E+00,         5.0
2006-11-27T00:41:13.587,              1.3747E-01,              1.0909E-01,              7.1101E-02,              5.5158E-02,              4.4294E-02,              3.2629E-02,              2.3015E-02,              1.1756E-02,              5.8834E-03,              3.6423E-03,              2.5608E-03,              1.8966E-03,              1.4162E-03,         5.0,            4.8830E+01,            2.3924E+01,            9.7554E+00,            9.0144E+00,            8.0703E+00,            6.4823E+00,            5.1338E+00,            4.0970E+00,            3.1287E+00,            2.7242E+00,         5.0
2006-11-27T00:45:14.087,              1.3174E-01,              1.0454E-01,              7.1713E-02,              5.4677E-02,              4.3122E-02,              3.0946E-02,              2.1747E-02,              1.1176E-02,              5.6425E-03,              3.4707E-03,              2.4373E-03,              1.8106E-03,              1.3566E-03,         5.0,            1.8108E+01,            1.0753E+01,            9.1230E+00,            8.4410E+00,            7.5659E+00,            6.0831E+00,            4.8215E+00,            3.8502E+00,            2.9416E+00,            2.5622E+00,         5.0
2006-11-27T00:49:14.087,              1.4551E-01,              1.1548E-01,              7.5353E-02,              5.6659E-02,              4.4758E-02,              3.2171E-02,              2.2588E-02,              1.1848E-02,              5.8749E-03,              3.6398E-03,              2.5572E-03,              1.8853E-03,              1.4067E-03,         5.0,            4.7724E+01,            2.3727E+01,            1.0201E+01,            9.0983E+00,            8.1404E+00,            6.5352E+00,            5.1736E+00,            4.1273E+00,            3.1510E+00,            2.7431E+00,         5.0
2006-11-27T00:53:13.087,              1.3742E-01,              1.0906E-01,              7.3570E-02,              5.5327E-02,              4.3320E-02,              3.2148E-02,              2.2926E-02,              1.1880E-02,              5.9245E-03,              3.6871E-03,              2.5884E-03,              1.9031E-03,              1.4146E-03,         5.0,            1.5575E+01,            1.0566E+01,            8.9316E+00,            8.2319E+00,            7.3525E+00,            5.8939E+00,            4.6602E+00,            3.7142E+00,            2.8334E+00,            2.4651E+00,         5.0
2006-11-27T00:57:13.587,              1.3389E-01,              1.0626E-01,              7.3095E-02,              5.5246E-02,              4.3582E-02,              3.2533E-02,              2.2800E-02,              1.1922E-02,              5.9673E-03,              3.7453E-03,              2.6322E-03,              1.9301E-03,              1.4293E-03,         5.0,            1.6658E+01,            1.1301E+01,            9.5527E+00,            8.8044E+00,            7.8639E+00,            6.3039E+00,            4.9845E+00,            3.9727E+00,            3.0307E+00,            2.6368E+00,         5.0
2006-11-27T01:01:13.087,              1.4620E-01,              1.1602E-01,              7.5536E-02,              5.7125E-02,              4.4636E-02,              3.1395E-02,              2.1452E-02,              1.1479E-02,              5.6911E-03,              3.5050E-03,              2.4684E-03,              1.8295E-03,              1.3689E-03,         5.0,            5.1350E+01,            2.5004E+01,            9.9491E+00,            8.8180E+00,            7.8930E+00,            6.3388E+00,            5.0195E+00,            4.0054E+00,            3.0584E+00,            2.6628E+00,         5.0
2006-11-27T01:05:13.587,              9.9897E-02,              7.9279E-02,              4.9623E-02,              3.8876E-02,              3.1171E-02,              2.2923E-02,              1.6191E-02,              8.5901E-03,              4.3634E-03,              2.8941E-03,              2.1307E-03,              1.6267E-03,              1.2436E-03,         5.0,            5.7966E+01,            3.1168E+01,            1.6779E+01,            9.1945E+00,            8.2231E+00,            6.5992E+00,            5.2228E+00,            4.1656E+00,            3.1797E+00,            2.7676E+00,         5.0
2006-11-27T01:09:13.587,              1.4702E-01,              1.1668E-01,              7.4783E-02,              5.6081E-02,              4.3516E-02,              3.1603E-02,              2.2369E-02,              1.1643E-02,              5.7735E-03,              3.5014E-03,              2.4411E-03,              1.8079E-03,              1.3566E-03,         5.0,            5.6468E+01,            2.9292E+01,            1.5305E+01,            9.1243E+00,            8.1542E+00,            6.5397E+00,            5.1730E+00,            4.1243E+00,            3.1471E+00,            2.7387E+00,         5.0
2006-11-27T01:13:13.587,              1.5492E-01,              1.2294E-01,              8.4176E-02,              6.4624E-02,              4.8723E-02,              3.6582E-02,              2.5289E-02,              1.3273E-02,              6.6183E-03,              3.9805E-03,              2.7502E-03,              2.0111E-03,              1.4821E-03,         5.0,            1.5638E+01,            1.0613E+01,            8.9773E+00,            8.2797E+00,            7.3998E+00,            5.9350E+00,            4.6948E+00,            3.7430E+00,            2.8562E+00,            2.4855E+00,         5.0
2006-11-27T01:17:13.087,              1.3458E-01,              1.0681E-01,              7.4805E-02,              5.7610E-02,              4.5249E-02,              3.1798E-02,              2.1599E-02,              1.1303E-02,              5.6295E-03,              3.3621E-03,              2.3658E-03,              1.7803E-03,              1.3490E-03,         5.0,            1.5981E+01,            1.0861E+01,            9.2045E+00,            8.5068E+00,            7.6170E+00,            6.1189E+00,            4.8465E+00,            3.8679E+00,            2.9539E+00,            2.5720E+00,         5.0
2006-11-27T01:21:13.587,              1.2468E-01,              9.8951E-02,              6.8327E-02,              5.3121E-02,              4.1092E-02,              3.1162E-02,              2.2660E-02,              1.1502E-02,              5.7224E-03,              3.5894E-03,              2.5500E-03,              1.9020E-03,              1.4262E-03,         5.0,            1.5433E+01,            1.0467E+01,            8.8434E+00,            8.1467E+00,            7.2733E+00,            5.8284E+00,            4.6072E+00,            3.6713E+00,            2.8003E+00,            2.4361E+00,         5.0
2006-11-27T01:25:13.587,              1.4552E-01,              1.1549E-01,              7.9059E-02,              5.9923E-02,              4.4804E-02,              3.2301E-02,              2.2851E-02,              1.2215E-02,              6.0942E-03,              3.7644E-03,              2.6347E-03,              1.9362E-03,              1.4413E-03,         5.0,            1.5635E+01,            1.0633E+01,            9.0213E+00,            8.3467E+00,            7.4813E+00,            6.0150E+00,            4.7676E+00,            3.8071E+00,            2.9087E+00,            2.5335E+00,         5.0
