                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-08-10T00:03:00.421,              1.4042E-01,              1.1145E-01,              7.7789E-02,              5.8826E-02,              4.4179E-02,              3.2472E-02,              2.3058E-02,              1.1884E-02,              5.8576E-03,              3.5511E-03,              2.4797E-03,              1.8377E-03,              1.3763E-03,         5.0,            2.4131E+01,            1.0912E+01,            9.2467E+00,            8.5443E+00,            7.6497E+00,            6.1445E+00,            4.8665E+00,            3.8838E+00,            2.9660E+00,            2.5826E+00,         5.0
2006-08-10T00:07:00.421,              1.4635E-01,              1.1614E-01,              7.7856E-02,              5.8812E-02,              4.5741E-02,              3.2281E-02,              2.2361E-02,              1.1783E-02,              5.8878E-03,              3.6422E-03,              2.5486E-03,              1.8644E-03,              1.3767E-03,         5.0,            5.4073E+01,            2.7321E+01,            1.2741E+01,            9.2120E+00,            8.2373E+00,            6.6097E+00,            5.2304E+00,            4.1713E+00,            3.1838E+00,            2.7710E+00,         5.0
2006-08-10T00:10:59.421,              1.4032E-01,              1.1137E-01,              7.2942E-02,              5.5521E-02,              4.3537E-02,              3.1091E-02,              2.1081E-02,              1.0868E-02,              5.3806E-03,              3.2514E-03,              2.2868E-03,              1.7092E-03,              1.2879E-03,         5.0,            8.6369E+01,            4.5962E+01,            2.3984E+01,            9.3348E+00,            7.8058E+00,            6.2617E+00,            4.9540E+00,            3.9502E+00,            3.0147E+00,            2.6236E+00,         5.0
2006-08-10T00:14:55.921,              1.1403E-01,              9.0502E-02,              5.9972E-02,              4.6379E-02,              3.5467E-02,              2.5588E-02,              1.8017E-02,              9.0461E-03,              4.6317E-03,              2.9263E-03,              2.1026E-03,              1.5919E-03,              1.2154E-03,         5.0,            5.6690E+01,            3.0146E+01,            1.5719E+01,            8.3677E+00,            7.4936E+00,            6.0206E+00,            4.7692E+00,            3.8066E+00,            2.9073E+00,            2.5317E+00,         5.0
2006-08-10T00:18:55.421,              1.4630E-01,              1.1612E-01,              7.6354E-02,              5.7352E-02,              4.3865E-02,              3.1770E-02,              2.2576E-02,              1.1780E-02,              5.8187E-03,              3.5518E-03,              2.4610E-03,              1.7979E-03,              1.3259E-03,         5.0,            7.6894E+01,            4.2904E+01,            2.5282E+01,            1.3675E+01,            8.6407E+00,            6.9302E+00,            5.4820E+00,            4.3707E+00,            3.3353E+00,            2.9025E+00,         5.0
2006-08-10T00:22:56.421,              1.1999E-01,              9.5239E-02,              6.6043E-02,              4.9846E-02,              3.8565E-02,              2.8362E-02,              2.0043E-02,              1.0370E-02,              5.1635E-03,              3.2213E-03,              2.2825E-03,              1.7005E-03,              1.2771E-03,         5.0,            4.8608E+01,            2.3753E+01,            9.4948E+00,            8.2210E+00,            7.3684E+00,            5.9242E+00,            4.6955E+00,            3.7495E+00,            2.8647E+00,            2.4952E+00,         5.0
2006-08-10T00:26:52.421,              1.2249E-01,              9.7234E-02,              6.3925E-02,              4.9463E-02,              3.9127E-02,              2.9648E-02,              2.1599E-02,              1.0924E-02,              5.3886E-03,              3.4077E-03,              2.4237E-03,              1.8077E-03,              1.3558E-03,         5.0,            7.1833E+01,            3.8503E+01,            2.0424E+01,            9.7116E+00,            8.6800E+00,            6.9622E+00,            5.5077E+00,            4.3914E+00,            3.3512E+00,            2.9164E+00,         5.0
2006-08-10T00:30:51.921,              1.3883E-01,              1.1019E-01,              7.5377E-02,              5.7125E-02,              4.4105E-02,              3.1827E-02,              2.2381E-02,              1.1233E-02,              5.6456E-03,              3.4938E-03,              2.4604E-03,              1.8258E-03,              1.3660E-03,         5.0,            1.5634E+01,            1.0617E+01,            8.9877E+00,            8.2966E+00,            7.4209E+00,            5.9561E+00,            4.7142E+00,            3.7602E+00,            2.8704E+00,            2.4985E+00,         5.0
2006-08-10T00:34:51.921,              1.8095E-01,              1.4360E-01,              9.2060E-02,              6.7439E-02,              5.1498E-02,              3.6191E-02,              2.4763E-02,              1.3108E-02,              6.4413E-03,              3.8232E-03,              2.6246E-03,              1.9141E-03,              1.4153E-03,         5.0,            8.4071E+01,            4.4868E+01,            2.3802E+01,            9.9818E+00,            8.5634E+00,            6.8728E+00,            5.4397E+00,            4.3389E+00,            3.3121E+00,            2.8830E+00,         5.0
2006-08-10T00:38:51.921,              1.1777E-01,              9.3455E-02,              5.9016E-02,              4.5405E-02,              3.4738E-02,              2.6421E-02,              1.8685E-02,              9.4641E-03,              4.7985E-03,              2.8943E-03,              2.0169E-03,              1.5093E-03,              1.1410E-03,         5.0,            6.0272E+01,            3.7511E+01,            2.0189E+01,            1.1696E+01,            7.8250E+00,            6.2867E+00,            4.9798E+00,            3.9747E+00,            3.0356E+00,            2.6433E+00,         5.0
