                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2005-06-08T15:36:22.350,              6.4358E-02,              5.1075E-02,              3.6419E-02,              2.9533E-02,              2.3836E-02,              1.8817E-02,              1.3512E-02,              6.5558E-03,              3.3019E-03,              2.1612E-03,              1.5722E-03,              1.1923E-03,              9.0440E-04,         5.0,            4.6992E+01,            2.5169E+01,            1.3272E+01,            5.9732E+00,            5.3441E+00,            4.2902E+00,            3.3963E+00,            2.7095E+00,            2.0686E+00,            1.8009E+00,         5.0
2005-06-08T15:40:02.850,              1.2387E-01,              9.8308E-02,              6.2253E-02,              4.6284E-02,              3.4601E-02,              2.0792E-02,              1.3088E-02,              7.6210E-03,              3.8336E-03,              2.2909E-03,              1.6366E-03,              1.2457E-03,              9.5187E-04,         5.0,            5.4900E+01,            3.4014E+01,            1.8352E+01,            1.0511E+01,            6.4100E+00,            5.1468E+00,            4.0749E+00,            3.2512E+00,            2.4823E+00,            2.1611E+00,         5.0
2005-06-08T15:43:42.350,              1.2842E-01,              1.0192E-01,              6.7004E-02,              4.9971E-02,              3.7660E-02,              2.7037E-02,              1.8064E-02,              9.0027E-03,              4.4203E-03,              2.4417E-03,              1.6656E-03,              1.2500E-03,              9.4789E-04,         5.0,            6.5937E+01,            3.4992E+01,            1.8512E+01,            7.9333E+00,            6.1011E+00,            4.8946E+00,            3.8725E+00,            3.0880E+00,            2.3567E+00,            2.0510E+00,         5.0
2005-06-08T15:47:22.850,              1.2552E-01,              9.9612E-02,              6.4798E-02,              4.8634E-02,              3.7634E-02,              2.6745E-02,              1.8431E-02,              9.6544E-03,              4.7751E-03,              2.8884E-03,              2.0002E-03,              1.4617E-03,              1.0826E-03,         5.0,            4.1955E+01,            2.1255E+01,            9.7564E+00,            6.6792E+00,            5.9775E+00,            4.7997E+00,            3.8003E+00,            3.0322E+00,            2.3152E+00,            2.0156E+00,         5.0
2005-06-08T15:51:03.350,              1.3571E-01,              1.0769E-01,              6.7622E-02,              5.0572E-02,              3.9109E-02,              2.8365E-02,              1.7588E-02,              8.3117E-03,              4.1242E-03,              2.1181E-03,              1.4444E-03,              1.1223E-03,              8.7899E-04,         5.0,            9.0010E+01,            4.1351E+01,            1.6608E+01,            6.9299E+00,            6.1867E+00,            4.9573E+00,            3.9184E+00,            3.1222E+00,            2.3813E+00,            2.0715E+00,         5.0
2005-06-08T15:54:43.350,              1.1225E-01,              8.9082E-02,              5.6286E-02,              4.2921E-02,              3.3586E-02,              2.4421E-02,              1.6750E-02,              8.6697E-03,              4.3104E-03,              2.5801E-03,              1.7966E-03,              1.3360E-03,              1.0046E-03,         5.0,            4.7225E+01,            2.5050E+01,            1.3100E+01,            6.5873E+00,            5.8876E+00,            4.7223E+00,            3.7357E+00,            2.9785E+00,            2.2729E+00,            1.9779E+00,         5.0
2005-06-08T15:58:23.350,              1.2419E-01,              9.8563E-02,              6.4556E-02,              4.7709E-02,              3.6494E-02,              2.6069E-02,              1.7900E-02,              9.2527E-03,              4.5587E-03,              2.7064E-03,              1.8633E-03,              1.3641E-03,              1.0083E-03,         5.0,            5.7025E+01,            3.0720E+01,            1.6712E+01,            8.1619E+00,            5.7444E+00,            4.6088E+00,            3.6467E+00,            2.9081E+00,            2.2196E+00,            1.9318E+00,         5.0
2005-06-08T16:01:58.850,              1.0417E-01,              8.2677E-02,              5.4069E-02,              4.1780E-02,              3.3269E-02,              2.4775E-02,              1.7738E-02,              9.0336E-03,              4.4714E-03,              2.7949E-03,              1.9624E-03,              1.4445E-03,              1.0734E-03,         5.0,            4.3217E+01,            2.2944E+01,            1.2077E+01,            7.1557E+00,            6.3918E+00,            5.1242E+00,            4.0519E+00,            3.2295E+00,            2.4638E+00,            2.1436E+00,         5.0
2005-06-08T16:05:38.350,              1.2996E-01,              1.0315E-01,              6.9439E-02,              5.0421E-02,              3.7916E-02,              2.6704E-02,              1.8449E-02,              9.9473E-03,              4.9203E-03,              2.9974E-03,              2.0645E-03,              1.4949E-03,              1.0962E-03,         5.0,            4.1928E+01,            2.2265E+01,            1.1755E+01,            6.5518E+00,            5.8725E+00,            4.7216E+00,            3.7424E+00,            2.9884E+00,            2.2832E+00,            1.9887E+00,         5.0
2005-06-08T16:09:18.850,              1.1618E-01,              9.2201E-02,              5.9359E-02,              4.5196E-02,              3.4818E-02,              2.5524E-02,              1.7825E-02,              9.3268E-03,              4.6353E-03,              2.8478E-03,              1.9926E-03,              1.4691E-03,              1.0967E-03,         5.0,            4.8656E+01,            2.6223E+01,            1.4282E+01,            7.4603E+00,            6.6824E+00,            5.3697E+00,            4.2541E+00,            3.3958E+00,            2.5938E+00,            2.2588E+00,         5.0
2005-06-08T16:15:03.350,              1.2044E-01,              9.5586E-02,              6.2472E-02,              4.7183E-02,              3.6380E-02,              2.6220E-02,              1.8097E-02,              9.3453E-03,              4.6172E-03,              2.7937E-03,              1.9475E-03,              1.4384E-03,              1.0744E-03,         5.0,            5.0856E+01,            2.7167E+01,            1.4336E+01,            7.0587E+00,            6.3026E+00,            5.0510E+00,            3.9929E+00,            3.1819E+00,            2.4271E+00,            2.1115E+00,         5.0
2005-06-08T16:18:43.350,              8.2053E-02,              6.5117E-02,              4.1985E-02,              3.2463E-02,              2.6164E-02,              2.0270E-02,              1.4600E-02,              7.3041E-03,              3.7138E-03,              2.3967E-03,              1.7218E-03,              1.2981E-03,              9.8366E-04,         5.0,            3.2780E+01,            2.0067E+01,            1.0654E+01,            7.1230E+00,            6.3622E+00,            5.1001E+00,            4.0327E+00,            3.2140E+00,            2.4519E+00,            2.1332E+00,         5.0
2005-06-08T16:22:22.850,              7.9438E-02,              6.3057E-02,              4.3542E-02,              3.3762E-02,              2.6685E-02,              2.0209E-02,              1.4341E-02,              6.8306E-03,              3.4623E-03,              2.1660E-03,              1.5487E-03,              1.1761E-03,              8.9441E-04,         5.0,            4.6068E+01,            2.7808E+01,            1.5410E+01,            8.6482E+00,            5.9774E+00,            4.8032E+00,            3.8053E+00,            3.0376E+00,            2.3202E+00,            2.0205E+00,         5.0
2005-06-08T16:26:02.350,              9.5731E-02,              7.5962E-02,              4.7165E-02,              3.6416E-02,              2.8638E-02,              2.1749E-02,              1.5441E-02,              7.7848E-03,              3.9682E-03,              2.5111E-03,              1.7768E-03,              1.3228E-03,              9.9546E-04,         5.0,            4.4717E+01,            2.3807E+01,            1.2554E+01,            6.8565E+00,            6.1243E+00,            4.9096E+00,            3.8821E+00,            3.0941E+00,            2.3605E+00,            2.0537E+00,         5.0
2005-06-08T16:29:42.851,              1.1764E-01,              9.3348E-02,              5.6028E-02,              4.2235E-02,              3.3482E-02,              2.3492E-02,              1.5925E-02,              8.7357E-03,              4.3886E-03,              2.7271E-03,              1.9316E-03,              1.4385E-03,              1.0807E-03,         5.0,            3.0312E+01,            1.6858E+01,            9.3449E+00,            7.6375E+00,            6.8192E+00,            5.4647E+00,            4.3198E+00,            3.4422E+00,            2.6255E+00,            2.2840E+00,         5.0
2005-06-08T16:33:22.851,              8.5922E-02,              6.8195E-02,              4.5490E-02,              3.5217E-02,              2.7650E-02,              1.8021E-02,              1.2039E-02,              6.7851E-03,              3.4312E-03,              2.1940E-03,              1.6163E-03,              1.2463E-03,              9.6094E-04,         5.0,            3.5870E+01,            1.9062E+01,            1.0032E+01,            6.7685E+00,            6.0663E+00,            4.8771E+00,            3.8654E+00,            3.0866E+00,            2.3581E+00,            2.0539E+00,         5.0
2005-06-08T16:37:02.351,              1.1446E-01,              9.0837E-02,              6.1027E-02,              4.6153E-02,              3.5734E-02,              2.6477E-02,              1.8827E-02,              9.7432E-03,              4.8151E-03,              2.9816E-03,              2.0795E-03,              1.5255E-03,              1.1338E-03,         5.0,            7.3803E+01,            3.9394E+01,            2.0700E+01,            8.2188E+00,            7.0364E+00,            5.6533E+00,            4.4783E+00,            3.5746E+00,            2.7301E+00,            2.3774E+00,         5.0
2005-06-08T16:40:42.851,              1.2436E-01,              9.8694E-02,              6.1852E-02,              4.6137E-02,              3.5434E-02,              2.5891E-02,              1.8167E-02,              9.4914E-03,              4.7427E-03,              2.8878E-03,              2.0060E-03,              1.4764E-03,              1.0983E-03,         5.0,            5.0924E+01,            3.1403E+01,            1.6893E+01,            9.6709E+00,            7.2236E+00,            5.7942E+00,            4.5838E+00,            3.6548E+00,            2.7890E+00,            2.4271E+00,         5.0
2005-06-08T16:44:23.351,              1.0091E-01,              8.0085E-02,              5.6097E-02,              4.3520E-02,              3.4157E-02,              2.4480E-02,              1.6903E-02,              8.8969E-03,              4.4174E-03,              2.7463E-03,              1.9498E-03,              1.4514E-03,              1.0912E-03,         5.0,            1.3119E+01,            8.9092E+00,            7.5423E+00,            6.9626E+00,            6.2280E+00,            4.9987E+00,            3.9565E+00,            3.1559E+00,            2.4091E+00,            2.0970E+00,         5.0
2005-06-08T16:48:03.351,              1.2540E-01,              9.9515E-02,              6.5126E-02,              4.9313E-02,              3.6835E-02,              2.4840E-02,              1.6080E-02,              8.5192E-03,              4.2365E-03,              2.3967E-03,              1.6738E-03,              1.2778E-03,              9.8334E-04,         5.0,            8.6397E+01,            4.6621E+01,            2.5415E+01,            1.2100E+01,            6.9790E+00,            5.5989E+00,            4.4298E+00,            3.5324E+00,            2.6959E+00,            2.3462E+00,         5.0
2005-06-08T16:53:46.851,              1.1276E-01,              8.9480E-02,              5.6152E-02,              4.2813E-02,              3.4243E-02,              2.5592E-02,              1.7971E-02,              9.0148E-03,              4.4480E-03,              2.6646E-03,              1.8569E-03,              1.3811E-03,              1.0360E-03,         5.0,            5.7542E+01,            3.0775E+01,            1.6500E+01,            7.5479E+00,            6.7529E+00,            5.4225E+00,            4.2935E+00,            3.4258E+00,            2.6157E+00,            2.2772E+00,         5.0
2005-06-08T16:57:26.851,              1.4177E-01,              1.1251E-01,              7.2822E-02,              5.3406E-02,              3.5782E-02,              2.2862E-02,              1.5546E-02,              9.0961E-03,              4.5542E-03,              2.7576E-03,              1.9181E-03,              1.3985E-03,              1.0265E-03,         5.0,            6.3308E+01,            3.3444E+01,            1.7249E+01,            6.6072E+00,            5.3414E+00,            4.2847E+00,            3.3898E+00,            2.7029E+00,            2.0627E+00,            1.7951E+00,         5.0
2005-06-08T17:01:07.351,              1.2970E-01,              1.0294E-01,              6.5415E-02,              4.7339E-02,              3.2138E-02,              2.2199E-02,              1.5578E-02,              8.7469E-03,              4.3908E-03,              2.6682E-03,              1.8507E-03,              1.3551E-03,              1.0004E-03,         5.0,            5.4724E+01,            2.9704E+01,            1.6830E+01,            8.4922E+00,            5.4706E+00,            4.3927E+00,            3.4781E+00,            2.7751E+00,            2.1189E+00,            1.8447E+00,         5.0
2005-06-08T17:04:47.351,              1.1416E-01,              9.0612E-02,              6.1602E-02,              4.6304E-02,              3.5855E-02,              2.5927E-02,              1.7737E-02,              8.9380E-03,              4.4383E-03,              2.7479E-03,              1.9254E-03,              1.4138E-03,              1.0443E-03,         5.0,            7.6178E+01,            4.0700E+01,            2.1459E+01,            8.6455E+00,            5.6063E+00,            4.5040E+00,            3.5677E+00,            2.8476E+00,            2.1748E+00,            1.8938E+00,         5.0
2005-06-08T17:08:22.851,              1.4235E-01,              1.1296E-01,              7.0362E-02,              5.2295E-02,              4.0546E-02,              2.9589E-02,              2.0330E-02,              1.0309E-02,              5.0266E-03,              2.9386E-03,              2.0098E-03,              1.4694E-03,              1.0863E-03,         5.0,            8.1504E+01,            4.3413E+01,            2.2766E+01,            9.0799E+00,            5.9310E+00,            4.7571E+00,            3.7631E+00,            3.0004E+00,            2.2897E+00,            1.9926E+00,         5.0
2005-06-08T17:12:03.351,              1.0921E-01,              8.6683E-02,              5.7111E-02,              4.2135E-02,              3.2423E-02,              2.1781E-02,              1.4615E-02,              7.9681E-03,              3.9147E-03,              2.4203E-03,              1.7130E-03,              1.2602E-03,              9.3388E-04,         5.0,            8.3057E+01,            4.5353E+01,            2.5333E+01,            1.3153E+01,            5.5814E+00,            4.4778E+00,            3.5430E+00,            2.8255E+00,            2.1565E+00,            1.8769E+00,         5.0
2005-06-08T17:15:42.351,              1.2331E-01,              9.7871E-02,              6.3387E-02,              4.6457E-02,              3.4587E-02,              2.2858E-02,              1.5144E-02,              8.1928E-03,              4.0921E-03,              2.5018E-03,              1.7506E-03,              1.2829E-03,              9.4263E-04,         5.0,            5.2464E+01,            3.2258E+01,            1.7373E+01,            9.8625E+00,            5.4069E+00,            4.3391E+00,            3.4339E+00,            2.7388E+00,            2.0905E+00,            1.8195E+00,         5.0
2005-06-08T17:19:22.851,              1.7118E-01,              1.3584E-01,              8.5287E-02,              6.1534E-02,              4.2932E-02,              2.9698E-02,              2.0394E-02,              1.0728E-02,              5.3651E-03,              3.1942E-03,              2.1629E-03,              1.5460E-03,              1.1142E-03,         5.0,            5.3952E+01,            3.1123E+01,            1.6794E+01,            9.1926E+00,            5.5830E+00,            4.4858E+00,            3.5536E+00,            2.8365E+00,            2.1664E+00,            1.8865E+00,         5.0
2005-06-08T17:23:02.851,              1.0699E-01,              8.4913E-02,              5.6807E-02,              4.3107E-02,              3.2588E-02,              2.4104E-02,              1.7103E-02,              8.3718E-03,              4.1996E-03,              2.6245E-03,              1.8416E-03,              1.3545E-03,              1.0043E-03,         5.0,            5.0810E+01,            2.5876E+01,            1.1995E+01,            6.0224E+00,            5.3868E+00,            4.3234E+00,            3.4219E+00,            2.7295E+00,            2.0836E+00,            1.8137E+00,         5.0
2005-06-08T17:26:42.851,              1.0759E-01,              8.5394E-02,              5.5318E-02,              4.2140E-02,              3.2640E-02,              2.4071E-02,              1.7044E-02,              8.7741E-03,              4.3393E-03,              2.6921E-03,              1.8732E-03,              1.3653E-03,              1.0009E-03,         5.0,            4.3030E+01,            2.5069E+01,            1.3844E+01,            7.4957E+00,            5.5677E+00,            4.4748E+00,            3.5456E+00,            2.8306E+00,            2.1622E+00,            1.8831E+00,         5.0
2005-06-08T17:32:26.851,              1.2670E-01,              1.0056E-01,              7.0540E-02,              5.1984E-02,              3.9938E-02,              2.7128E-02,              1.8539E-02,              9.7973E-03,              4.7432E-03,              2.8354E-03,              1.9626E-03,              1.4323E-03,              1.0543E-03,         5.0,            5.9536E+01,            2.9690E+01,            1.2895E+01,            6.3080E+00,            5.6330E+00,            4.5148E+00,            3.5694E+00,            2.8446E+00,            2.1699E+00,            1.8878E+00,         5.0
2005-06-08T17:36:06.851,              1.2697E-01,              1.0077E-01,              6.6790E-02,              4.8965E-02,              3.6945E-02,              2.6057E-02,              1.8168E-02,              9.6848E-03,              4.7804E-03,              2.9291E-03,              2.0346E-03,              1.4837E-03,              1.0877E-03,         5.0,            5.8340E+01,            3.2035E+01,            1.8286E+01,            9.3345E+00,            5.8630E+00,            4.7064E+00,            3.7256E+00,            2.9721E+00,            2.2690E+00,            1.9752E+00,         5.0
2005-06-08T17:39:46.851,              1.0594E-01,              8.4093E-02,              5.6766E-02,              4.2376E-02,              3.3363E-02,              2.4487E-02,              1.7103E-02,              8.4345E-03,              4.1872E-03,              2.6049E-03,              1.8302E-03,              1.3459E-03,              9.9534E-04,         5.0,            7.0939E+01,            3.9558E+01,            2.3203E+01,            1.2353E+01,            5.4944E+00,            4.4147E+00,            3.4974E+00,            2.7918E+00,            2.1325E+00,            1.8571E+00,         5.0
2005-06-08T17:43:26.851,              1.1916E-01,              9.4556E-02,              5.6382E-02,              4.1708E-02,              3.1224E-02,              2.0992E-02,              1.4255E-02,              7.8656E-03,              3.9688E-03,              2.4483E-03,              1.7162E-03,              1.2592E-03,              9.2724E-04,         5.0,            6.1579E+01,            3.8294E+01,            2.0522E+01,            1.2053E+01,            7.0412E+00,            4.4196E+00,            3.5007E+00,            2.7939E+00,            2.1337E+00,            1.8579E+00,         5.0
2005-06-08T17:47:02.351,              1.0328E-01,              8.1983E-02,              5.5125E-02,              4.2701E-02,              3.4145E-02,              2.6014E-02,              1.8739E-02,              9.0322E-03,              4.4966E-03,              2.8604E-03,              2.0145E-03,              1.4764E-03,              1.0839E-03,         5.0,            4.4609E+01,            2.3719E+01,            1.2504E+01,            6.4324E+00,            5.7475E+00,            4.6088E+00,            3.6451E+00,            2.9058E+00,            2.2171E+00,            1.9292E+00,         5.0
2005-06-08T17:50:42.851,              1.0116E-01,              8.0302E-02,              5.6576E-02,              4.2492E-02,              3.1234E-02,              2.2681E-02,              1.5634E-02,              7.9085E-03,              3.8507E-03,              2.2649E-03,              1.5884E-03,              1.1981E-03,              9.0806E-04,         5.0,            7.5694E+01,            4.0731E+01,            2.1731E+01,            8.9325E+00,            5.3955E+00,            4.3245E+00,            3.4191E+00,            2.7249E+00,            2.0788E+00,            1.8087E+00,         5.0
2005-06-08T17:54:23.351,              1.2919E-01,              1.0252E-01,              6.6203E-02,              4.8573E-02,              3.5204E-02,              2.4485E-02,              1.6599E-02,              8.8523E-03,              4.3896E-03,              2.5689E-03,              1.7691E-03,              1.3084E-03,              9.7473E-04,         5.0,            5.9628E+01,            3.2529E+01,            1.8332E+01,            9.5335E+00,            5.5638E+00,            4.4664E+00,            3.5357E+00,            2.8206E+00,            2.1533E+00,            1.8745E+00,         5.0
2005-06-08T17:58:02.851,              1.2033E-01,              9.5506E-02,              6.3446E-02,              4.6736E-02,              3.5334E-02,              2.5295E-02,              1.7480E-02,              8.9698E-03,              4.3561E-03,              2.5613E-03,              1.7554E-03,              1.2842E-03,              9.4560E-04,         5.0,            7.3486E+01,            3.9586E+01,            2.1432E+01,            9.5623E+00,            5.3007E+00,            4.2539E+00,            3.3666E+00,            2.6852E+00,            2.0497E+00,            1.7841E+00,         5.0
2005-06-08T18:01:43.351,              1.2078E-01,              9.5856E-02,              6.3340E-02,              4.6796E-02,              3.2346E-02,              2.3283E-02,              1.6613E-02,              8.8755E-03,              4.4491E-03,              2.6821E-03,              1.8621E-03,              1.3753E-03,              1.0199E-03,         5.0,            7.8716E+01,            4.2377E+01,            2.2716E+01,            9.5587E+00,            5.3715E+00,            4.3085E+00,            3.4085E+00,            2.7178E+00,            2.0742E+00,            1.8051E+00,         5.0
2005-06-08T18:05:23.352,              7.5473E-02,              5.9916E-02,              4.1284E-02,              3.1412E-02,              2.4998E-02,              1.8820E-02,              1.3339E-02,              6.6378E-03,              3.3124E-03,              2.1018E-03,              1.4986E-03,              1.1159E-03,              8.3771E-04,         5.0,            5.1214E+01,            3.2062E+01,            1.7158E+01,            1.0026E+01,            5.3945E+00,            4.2592E+00,            3.3676E+00,            2.6838E+00,            2.0474E+00,            1.7812E+00,         5.0
2005-06-08T18:11:07.352,              1.5059E-01,              1.1951E-01,              8.0347E-02,              5.8144E-02,              4.3485E-02,              3.1459E-02,              2.1564E-02,              1.1154E-02,              5.4144E-03,              3.1526E-03,              2.1190E-03,              1.5094E-03,              1.0872E-03,         5.0,            7.1450E+01,            3.6074E+01,            1.6847E+01,            6.5984E+00,            5.6876E+00,            4.5665E+00,            3.6153E+00,            2.8844E+00,            2.2022E+00,            1.9172E+00,         5.0
