                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-07-01T00:07:24.344,              1.4334E-01,              1.1376E-01,              7.4889E-02,              5.4853E-02,              4.2321E-02,              3.0098E-02,              2.0599E-02,              1.0755E-02,              5.3008E-03,              3.1923E-03,              2.2081E-03,              1.6143E-03,              1.1877E-03,         5.0,            6.6298E+01,            3.6389E+01,            2.0754E+01,            1.0579E+01,            6.5790E+00,            5.2793E+00,            4.1779E+00,            3.3321E+00,            2.5433E+00,            2.2137E+00,         5.0
2006-07-01T00:27:00.344,              1.4107E-01,              1.1197E-01,              7.3502E-02,              5.5065E-02,              4.2461E-02,              3.0864E-02,              2.1493E-02,              1.1066E-02,              5.4453E-03,              3.3130E-03,              2.2966E-03,              1.6787E-03,              1.2355E-03,         5.0,            6.1624E+01,            3.2960E+01,            1.7615E+01,            7.7688E+00,            6.4420E+00,            5.1781E+00,            4.1034E+00,            3.2762E+00,            2.5028E+00,            2.1798E+00,         5.0
2006-07-01T00:46:40.344,              1.3694E-01,              1.0868E-01,              7.1158E-02,              5.2497E-02,              4.0543E-02,              2.9386E-02,              2.0376E-02,              1.0390E-02,              5.1281E-03,              3.0761E-03,              2.1229E-03,              1.5567E-03,              1.1493E-03,         5.0,            5.7759E+01,            3.1302E+01,            1.7593E+01,            8.8831E+00,            6.1984E+00,            4.9788E+00,            3.9432E+00,            3.1469E+00,            2.4032E+00,            2.0925E+00,         5.0
2006-07-01T01:06:20.344,              1.2721E-01,              1.0096E-01,              6.6170E-02,              4.9140E-02,              3.7766E-02,              2.7309E-02,              1.9168E-02,              9.9095E-03,              4.9082E-03,              3.0152E-03,              2.1069E-03,              1.5477E-03,              1.1446E-03,         5.0,            7.5808E+01,            4.1018E+01,            2.2455E+01,            1.0964E+01,            6.3672E+00,            5.1115E+00,            4.0464E+00,            3.2281E+00,            2.4645E+00,            2.1455E+00,         5.0
2006-07-01T01:25:59.845,              1.4601E-01,              1.1588E-01,              7.6123E-02,              5.5806E-02,              4.2366E-02,              3.0594E-02,              2.1246E-02,              1.1016E-02,              5.4316E-03,              3.2760E-03,              2.2633E-03,              1.6533E-03,              1.2169E-03,         5.0,            7.0128E+01,            3.7810E+01,            2.0544E+01,            9.7192E+00,            6.4142E+00,            5.1523E+00,            4.0807E+00,            3.2567E+00,            2.4871E+00,            2.1656E+00,         5.0
2006-07-01T01:45:39.845,              1.4488E-01,              1.1498E-01,              7.3481E-02,              5.5165E-02,              4.2871E-02,              3.0630E-02,              2.1334E-02,              1.1094E-02,              5.4728E-03,              3.3299E-03,              2.3057E-03,              1.6844E-03,              1.2378E-03,         5.0,            6.0902E+01,            3.3175E+01,            1.8768E+01,            9.4201E+00,            6.6127E+00,            5.3088E+00,            4.2027E+00,            3.3529E+00,            2.5598E+00,            2.2284E+00,         5.0
2006-07-01T02:05:15.845,              1.4247E-01,              1.1307E-01,              7.1415E-02,              5.2899E-02,              4.1095E-02,              3.0118E-02,              2.0911E-02,              1.0791E-02,              5.3280E-03,              3.2464E-03,              2.2513E-03,              1.6448E-03,              1.2076E-03,         5.0,            6.7645E+01,            3.7083E+01,            2.1068E+01,            1.0619E+01,            6.6065E+00,            5.2995E+00,            4.1926E+00,            3.3430E+00,            2.5512E+00,            2.2202E+00,         5.0
2006-07-01T02:24:55.345,              1.5176E-01,              1.2043E-01,              7.5700E-02,              5.6670E-02,              4.3273E-02,              3.1233E-02,              2.1796E-02,              1.1391E-02,              5.6259E-03,              3.4213E-03,              2.3667E-03,              1.7254E-03,              1.2688E-03,         5.0,            6.4284E+01,            3.4540E+01,            1.8646E+01,            8.5306E+00,            6.5645E+00,            5.2757E+00,            4.1802E+00,            3.3372E+00,            2.5492E+00,            2.2201E+00,         5.0
2006-07-01T02:44:36.345,              1.3596E-01,              1.0790E-01,              6.9141E-02,              5.1322E-02,              3.9683E-02,              2.8761E-02,              2.0041E-02,              1.0359E-02,              5.1392E-03,              3.1213E-03,              2.1729E-03,              1.6043E-03,              1.1892E-03,         5.0,            6.5475E+01,            3.5889E+01,            2.0396E+01,            1.0303E+01,            6.4839E+00,            5.2092E+00,            4.1263E+00,            3.2934E+00,            2.5153E+00,            2.1903E+00,         5.0
2006-07-01T03:04:16.346,              1.4011E-01,              1.1120E-01,              7.2002E-02,              5.3105E-02,              4.1297E-02,              3.0087E-02,              2.0920E-02,              1.0799E-02,              5.3142E-03,              3.2269E-03,              2.2337E-03,              1.6308E-03,              1.1974E-03,         5.0,            6.7775E+01,            3.6678E+01,            2.0172E+01,            1.0141E+01,            6.5235E+00,            5.2356E+00,            4.1438E+00,            3.3052E+00,            2.5230E+00,            2.1961E+00,         5.0
