                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-11-23T00:02:17.525,              1.3515E-01,              1.0727E-01,              7.8192E-02,              6.1147E-02,              4.7470E-02,              3.6378E-02,              2.6237E-02,              1.3220E-02,              6.5365E-03,              4.0974E-03,              2.9462E-03,              2.2343E-03,              1.6919E-03,         5.0,            1.6761E+01,            1.1366E+01,            9.6018E+00,            8.8440E+00,            7.8947E+00,            6.3255E+00,            4.9996E+00,            3.9835E+00,            3.0382E+00,            2.6428E+00,         5.0
2006-11-23T00:06:17.525,              1.4039E-01,              1.1142E-01,              7.5584E-02,              5.8071E-02,              4.5299E-02,              3.3524E-02,              2.3527E-02,              1.2126E-02,              5.9673E-03,              3.6988E-03,              2.6524E-03,              2.0161E-03,              1.5419E-03,         5.0,            1.7221E+01,            1.1709E+01,            9.9298E+00,            9.1835E+00,            8.2283E+00,            6.6137E+00,            5.2409E+00,            4.1843E+00,            3.1965E+00,            2.7839E+00,         5.0
2006-11-23T00:10:18.025,              1.7100E-01,              1.3570E-01,              9.1137E-02,              6.9111E-02,              5.2948E-02,              3.7587E-02,              2.5530E-02,              1.3444E-02,              6.6882E-03,              3.9656E-03,              2.7512E-03,              2.0344E-03,              1.5162E-03,         5.0,            2.3890E+01,            1.2288E+01,            1.0401E+01,            9.5997E+00,            8.5852E+00,            6.8896E+00,            5.4525E+00,            4.3487E+00,            3.3194E+00,            2.8892E+00,         5.0
2006-11-23T00:14:18.026,              1.1968E-01,              9.4982E-02,              6.3854E-02,              4.9263E-02,              3.8987E-02,              2.9380E-02,              2.0663E-02,              1.0667E-02,              5.3333E-03,              3.3655E-03,              2.4313E-03,              1.8516E-03,              1.4171E-03,         5.0,            1.5360E+01,            1.0429E+01,            8.8272E+00,            8.1469E+00,            7.2858E+00,            5.8468E+00,            4.6272E+00,            3.6906E+00,            2.8171E+00,            2.4520E+00,         5.0
2006-11-23T00:18:17.026,              1.4427E-01,              1.1449E-01,              7.6706E-02,              5.9841E-02,              4.6498E-02,              3.3494E-02,              2.3181E-02,              1.2465E-02,              6.2984E-03,              3.9693E-03,              2.8673E-03,              2.1664E-03,              1.6374E-03,         5.0,            1.5824E+01,            1.0742E+01,            9.0887E+00,            8.3851E+00,            7.4962E+00,            6.0138E+00,            4.7581E+00,            3.7941E+00,            2.8956E+00,            2.5200E+00,         5.0
2006-11-23T00:22:17.526,              1.5941E-01,              1.2651E-01,              8.2787E-02,              6.1680E-02,              4.8282E-02,              3.4165E-02,              2.3667E-02,              1.2900E-02,              6.4017E-03,              4.0004E-03,              2.8781E-03,              2.1811E-03,              1.6728E-03,         5.0,            1.8408E+01,            1.2493E+01,            1.0566E+01,            9.7434E+00,            8.7071E+00,            6.9830E+00,            5.5235E+00,            4.4036E+00,            3.3602E+00,            2.9241E+00,         5.0
2006-11-23T00:26:17.526,              1.5271E-01,              1.2120E-01,              8.4905E-02,              6.4352E-02,              5.1180E-02,              3.8627E-02,              2.6850E-02,              1.3823E-02,              6.8105E-03,              4.1620E-03,              2.9607E-03,              2.2386E-03,              1.7021E-03,         5.0,            1.7513E+01,            1.1880E+01,            1.0041E+01,            9.2538E+00,            8.2646E+00,            6.6247E+00,            5.2379E+00,            4.1745E+00,            3.1846E+00,            2.7706E+00,         5.0
2006-11-23T00:30:18.026,              1.3058E-01,              1.0363E-01,              7.4309E-02,              5.8129E-02,              4.4715E-02,              3.2875E-02,              2.2244E-02,              1.1462E-02,              5.7338E-03,              3.4204E-03,              2.4473E-03,              1.8928E-03,              1.4749E-03,         5.0,            1.5770E+01,            1.0709E+01,            9.0662E+00,            8.3693E+00,            7.4861E+00,            6.0084E+00,            4.7556E+00,            3.7933E+00,            2.8956E+00,            2.5205E+00,         5.0
2006-11-23T00:36:21.526,              1.2177E-01,              9.6632E-02,              6.1903E-02,              4.9872E-02,              4.0212E-02,              3.1515E-02,              2.2777E-02,              1.1335E-02,              5.7532E-03,              3.7045E-03,              2.6852E-03,              2.0563E-03,              1.5803E-03,         5.0,            1.6876E+01,            1.1464E+01,            9.7101E+00,            8.9684E+00,            8.0258E+00,            6.4442E+00,            5.1021E+00,            4.0707E+00,            3.1080E+00,            2.7057E+00,         5.0
2006-11-23T00:40:22.026,              1.1423E-01,              9.0663E-02,              6.2183E-02,              4.9349E-02,              3.9805E-02,              2.8884E-02,              2.0061E-02,              1.0409E-02,              5.2337E-03,              3.3914E-03,              2.4955E-03,              1.9205E-03,              1.4860E-03,         5.0,            1.7503E+01,            1.1900E+01,            1.0092E+01,            9.3342E+00,            8.3635E+00,            6.7224E+00,            5.3270E+00,            4.2530E+00,            3.2489E+00,            2.8295E+00,         5.0
