                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-03-07T00:02:33.159,              1.1388E-01,              9.0392E-02,              6.1696E-02,              4.7169E-02,              3.7116E-02,              2.7391E-02,              1.9463E-02,              9.7495E-03,              4.8197E-03,              2.9731E-03,              2.0906E-03,              1.5529E-03,              1.1620E-03,         5.0,            4.3944E+01,            2.2458E+01,            1.0703E+01,            6.8179E+00,            6.1111E+00,            4.9135E+00,            3.8946E+00,            3.1102E+00,            2.3763E+00,            2.0699E+00,         5.0
2006-03-07T00:06:29.660,              1.3995E-01,              1.1106E-01,              6.6804E-02,              4.9405E-02,              3.7708E-02,              2.6713E-02,              1.8530E-02,              1.0082E-02,              5.0370E-03,              3.0909E-03,              2.1627E-03,              1.5962E-03,              1.1886E-03,         5.0,            2.6590E+01,            1.3701E+01,            7.5818E+00,            6.9871E+00,            6.2401E+00,            5.0017E+00,            3.9544E+00,            3.1514E+00,            2.4039E+00,            2.0914E+00,         5.0
2006-03-07T00:10:30.160,              1.6000E-01,              1.2697E-01,              7.8699E-02,              5.7763E-02,              4.4009E-02,              3.1555E-02,              2.1491E-02,              1.0996E-02,              5.4668E-03,              3.1787E-03,              2.1777E-03,              1.6067E-03,              1.1965E-03,         5.0,            6.0693E+01,            3.7013E+01,            1.9926E+01,            1.1202E+01,            6.9824E+00,            5.6035E+00,            4.4346E+00,            3.5369E+00,            2.6997E+00,            2.3499E+00,         5.0
2006-03-07T00:14:29.660,              1.5480E-01,              1.2286E-01,              8.1112E-02,              6.0497E-02,              4.6418E-02,              3.3641E-02,              2.3352E-02,              1.1816E-02,              5.7792E-03,              3.4501E-03,              2.3782E-03,              1.7405E-03,              1.2846E-03,         5.0,            1.1290E+02,            6.0487E+01,            3.2034E+01,            1.2995E+01,            6.8648E+00,            5.5134E+00,            4.3663E+00,            3.4845E+00,            2.6609E+00,            2.3170E+00,         5.0
2006-03-07T00:18:29.660,              1.2366E-01,              9.8151E-02,              6.3266E-02,              4.6725E-02,              3.5306E-02,              2.5434E-02,              1.7915E-02,              9.3855E-03,              4.6456E-03,              2.8321E-03,              1.9754E-03,              1.4564E-03,              1.0825E-03,         5.0,            6.8045E+01,            3.6246E+01,            1.9063E+01,            7.7287E+00,            6.0897E+00,            4.8853E+00,            3.8651E+00,            3.0821E+00,            2.3521E+00,            2.0470E+00,         5.0
2006-03-07T00:22:29.660,              1.3382E-01,              1.0620E-01,              6.5763E-02,              4.9480E-02,              3.9046E-02,              2.9357E-02,              2.0805E-02,              1.0623E-02,              5.2758E-03,              3.2513E-03,              2.2574E-03,              1.6493E-03,              1.2140E-03,         5.0,            3.9831E+01,            2.1374E+01,            1.1685E+01,            7.0577E+00,            6.3159E+00,            5.0711E+00,            4.0149E+00,            3.2032E+00,            2.4456E+00,            2.1291E+00,         5.0
2006-03-07T00:26:29.660,              1.3710E-01,              1.0880E-01,              6.8075E-02,              5.0587E-02,              3.7377E-02,              2.0826E-02,              1.3006E-02,              7.6692E-03,              3.9395E-03,              2.5257E-03,              1.8603E-03,              1.4165E-03,              1.0712E-03,         5.0,            8.4384E+01,            4.7001E+01,            2.7558E+01,            1.4726E+01,            6.6174E+00,            5.3140E+00,            4.2079E+00,            3.3577E+00,            2.5639E+00,            2.2323E+00,         5.0
2006-03-07T00:30:30.160,              1.4369E-01,              1.1404E-01,              7.4017E-02,              5.5064E-02,              4.2350E-02,              3.0848E-02,              2.1834E-02,              1.1361E-02,              5.6079E-03,              3.4163E-03,              2.3653E-03,              1.7288E-03,              1.2766E-03,         5.0,            6.2901E+01,            3.3624E+01,            1.7892E+01,            7.9054E+00,            7.0587E+00,            5.6569E+00,            4.4719E+00,            3.5636E+00,            2.7183E+00,            2.3648E+00,         5.0
2006-03-07T00:34:29.660,              1.4420E-01,              1.1445E-01,              7.7039E-02,              5.7057E-02,              4.2890E-02,              3.0133E-02,              2.0857E-02,              1.0948E-02,              5.3714E-03,              3.2061E-03,              2.2200E-03,              1.6311E-03,              1.2121E-03,         5.0,            7.6946E+01,            4.0782E+01,            2.1143E+01,            8.1580E+00,            6.6861E+00,            5.3686E+00,            4.2507E+00,            3.3915E+00,            2.5895E+00,            2.2544E+00,         5.0
2006-03-07T00:38:29.160,              1.1285E-01,              8.9544E-02,              5.5056E-02,              4.2145E-02,              3.2255E-02,              2.3944E-02,              1.7185E-02,              9.1024E-03,              4.6139E-03,              2.9436E-03,              2.0802E-03,              1.5234E-03,              1.1217E-03,         5.0,            5.3061E+01,            2.8426E+01,            1.5191E+01,            6.7530E+00,            6.0421E+00,            4.8506E+00,            3.8400E+00,            3.0635E+00,            2.3388E+00,            2.0360E+00,         5.0
