                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-07-29T00:00:27.741,              1.4659E-01,              1.1633E-01,              7.3076E-02,              5.5012E-02,              4.1680E-02,              2.9424E-02,              2.0379E-02,              1.0778E-02,              5.3494E-03,              3.2701E-03,              2.2801E-03,              1.6761E-03,              1.2413E-03,         5.0,            7.6457E+01,            4.1130E+01,            2.2165E+01,            9.8415E+00,            6.6612E+00,            5.3556E+00,            4.2450E+00,            3.3899E+00,            2.5900E+00,            2.2560E+00,         5.0
2006-07-29T00:04:24.241,              1.4687E-01,              1.1656E-01,              7.5364E-02,              5.6279E-02,              4.3488E-02,              3.0805E-02,              2.0924E-02,              1.1000E-02,              5.4535E-03,              3.2818E-03,              2.2752E-03,              1.6711E-03,              1.2352E-03,         5.0,            5.0666E+01,            2.7363E+01,            1.5085E+01,            7.2529E+00,            6.2719E+00,            5.0406E+00,            3.9938E+00,            3.1884E+00,            2.4355E+00,            2.1210E+00,         5.0
2006-07-29T00:08:23.741,              1.4346E-01,              1.1385E-01,              7.1299E-02,              5.3024E-02,              4.0638E-02,              2.9038E-02,              2.0159E-02,              1.0605E-02,              5.2567E-03,              3.1968E-03,              2.2182E-03,              1.6179E-03,              1.1900E-03,         5.0,            8.4172E+01,            4.6631E+01,            2.7004E+01,            1.4041E+01,            6.4607E+00,            5.1851E+00,            4.1038E+00,            3.2734E+00,            2.4988E+00,            2.1751E+00,         5.0
2006-07-29T00:12:23.741,              1.3864E-01,              1.1003E-01,              6.9084E-02,              5.1523E-02,              4.0200E-02,              2.9649E-02,              2.0648E-02,              1.0497E-02,              5.1915E-03,              3.1349E-03,              2.1718E-03,              1.5950E-03,              1.1801E-03,         5.0,            8.7814E+01,            4.8738E+01,            2.8261E+01,            1.4641E+01,            6.7700E+00,            5.4284E+00,            4.2933E+00,            3.4225E+00,            2.6114E+00,            2.2724E+00,         5.0
2006-07-29T00:16:23.741,              1.3293E-01,              1.0548E-01,              6.2069E-02,              4.6257E-02,              3.5644E-02,              2.5648E-02,              1.7911E-02,              9.5078E-03,              4.7758E-03,              2.9148E-03,              2.0338E-03,              1.5017E-03,              1.1144E-03,         5.0,            4.6307E+01,            2.8629E+01,            1.5403E+01,            8.6333E+00,            6.0148E+00,            4.8315E+00,            3.8266E+00,            3.0539E+00,            2.3322E+00,            2.0307E+00,         5.0
2006-07-29T00:20:23.241,              1.4985E-01,              1.1892E-01,              7.3761E-02,              5.3840E-02,              4.0407E-02,              2.9371E-02,              2.0462E-02,              1.0895E-02,              5.3973E-03,              3.2661E-03,              2.2459E-03,              1.6314E-03,              1.2021E-03,         5.0,            3.2830E+01,            1.7404E+01,            9.2348E+00,            6.5011E+00,            5.8174E+00,            4.6707E+00,            3.6978E+00,            2.9501E+00,            2.2524E+00,            1.9608E+00,         5.0
2006-07-29T00:24:24.241,              1.1934E-01,              9.4700E-02,              6.1537E-02,              4.6977E-02,              3.7412E-02,              2.6198E-02,              1.7891E-02,              9.5237E-03,              4.7754E-03,              3.0130E-03,              2.1462E-03,              1.5923E-03,              1.1890E-03,         5.0,            6.0028E+01,            3.2063E+01,            1.7014E+01,            7.3543E+00,            6.5775E+00,            5.2787E+00,            4.1778E+00,            3.3322E+00,            2.5435E+00,            2.2139E+00,         5.0
2006-07-29T00:28:23.241,              1.5091E-01,              1.1976E-01,              7.6447E-02,              5.7580E-02,              4.5434E-02,              3.0832E-02,              2.0499E-02,              1.1007E-02,              5.4289E-03,              3.3056E-03,              2.3017E-03,              1.6792E-03,              1.2332E-03,         5.0,            6.5833E+01,            3.5309E+01,            1.9086E+01,            8.7568E+00,            6.5667E+00,            5.2737E+00,            4.1761E+00,            3.3323E+00,            2.5445E+00,            2.2153E+00,         5.0
2006-07-29T00:32:23.741,              1.5114E-01,              1.1995E-01,              8.1180E-02,              6.0694E-02,              4.5852E-02,              3.3203E-02,              2.3241E-02,              1.1857E-02,              5.8499E-03,              3.5221E-03,              2.4205E-03,              1.7613E-03,              1.2976E-03,         5.0,            5.7005E+01,            3.0237E+01,            1.5694E+01,            7.2018E+00,            6.4430E+00,            5.1720E+00,            4.0941E+00,            3.2660E+00,            2.4933E+00,            2.1705E+00,         5.0
2006-07-29T00:36:23.741,              1.7213E-01,              1.3661E-01,              8.9488E-02,              6.6919E-02,              5.0419E-02,              3.5659E-02,              2.4525E-02,              1.2396E-02,              6.1733E-03,              3.7437E-03,              2.5693E-03,              1.8516E-03,              1.3467E-03,         5.0,            1.9281E+01,            9.2563E+00,            7.8390E+00,            7.2393E+00,            6.4776E+00,            5.2004E+00,            4.1169E+00,            3.2844E+00,            2.5074E+00,            2.1828E+00,         5.0
