                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-11-16T00:02:33.919,              1.5106E-01,              1.1988E-01,              7.9416E-02,              5.9466E-02,              4.6863E-02,              3.4418E-02,              2.4176E-02,              1.2640E-02,              6.2598E-03,              3.8427E-03,              2.6732E-03,              1.9607E-03,              1.4532E-03,         5.0,            4.1163E+01,            2.1677E+01,            1.1176E+01,            9.5576E+00,            8.5597E+00,            6.8773E+00,            5.4480E+00,            4.3485E+00,            3.3211E+00,            2.8920E+00,         5.0
2006-11-16T00:06:33.419,              1.4147E-01,              1.1229E-01,              7.8023E-02,              5.8428E-02,              4.6866E-02,              3.3969E-02,              2.3121E-02,              1.1809E-02,              5.8387E-03,              3.4737E-03,              2.4367E-03,              1.8326E-03,              1.3940E-03,         5.0,            4.5659E+01,            2.3267E+01,            1.1777E+01,            9.0753E+00,            8.1316E+00,            6.5361E+00,            5.1794E+00,            4.1353E+00,            3.1591E+00,            2.7514E+00,         5.0
2006-11-16T00:10:33.419,              1.3371E-01,              1.0613E-01,              7.3872E-02,              5.6950E-02,              4.4575E-02,              3.2582E-02,              2.2835E-02,              1.1712E-02,              5.7933E-03,              3.5675E-03,              2.5226E-03,              1.8830E-03,              1.4228E-03,         5.0,            2.0241E+01,            1.1607E+01,            9.8376E+00,            9.0929E+00,            8.1427E+00,            6.5418E+00,            5.1819E+00,            4.1360E+00,            3.1588E+00,            2.7506E+00,         5.0
2006-11-16T00:14:33.419,              1.1800E-01,              9.3651E-02,              6.3283E-02,              4.9182E-02,              3.9677E-02,              3.0119E-02,              2.1430E-02,              1.0367E-02,              5.1935E-03,              3.1827E-03,              2.2577E-03,              1.7129E-03,              1.3095E-03,         5.0,            7.1213E+01,            3.8500E+01,            2.0948E+01,            9.7169E+00,            8.4957E+00,            6.8190E+00,            5.3974E+00,            4.3054E+00,            3.2867E+00,            2.8610E+00,         5.0
2006-11-16T00:18:32.919,              1.3234E-01,              1.0503E-01,              7.0514E-02,              5.4213E-02,              4.1684E-02,              3.1286E-02,              2.2113E-02,              1.1383E-02,              5.5836E-03,              3.4073E-03,              2.3833E-03,              1.7677E-03,              1.3274E-03,         5.0,            4.8146E+01,            2.3930E+01,            1.0231E+01,            8.7215E+00,            7.7887E+00,            6.2429E+00,            4.9358E+00,            3.9336E+00,            3.0007E+00,            2.6106E+00,         5.0
2006-11-16T00:22:37.919,              1.5582E-01,              1.2365E-01,              8.0106E-02,              5.9844E-02,              4.6084E-02,              3.4420E-02,              2.3825E-02,              1.1654E-02,              5.9007E-03,              3.5548E-03,              2.4652E-03,              1.8289E-03,              1.3747E-03,         5.0,            5.0377E+01,            2.8560E+01,            1.5806E+01,            9.8200E+00,            8.7742E+00,            7.0358E+00,            5.5646E+00,            4.4359E+00,            3.3846E+00,            2.9450E+00,         5.0
2006-11-16T00:26:37.419,              1.6353E-01,              1.2978E-01,              8.1498E-02,              6.1518E-02,              4.7159E-02,              3.5554E-02,              2.5238E-02,              1.2980E-02,              6.4425E-03,              3.9023E-03,              2.7018E-03,              1.9763E-03,              1.4649E-03,         5.0,            5.3054E+01,            2.6574E+01,            1.1707E+01,            9.5256E+00,            8.5264E+00,            6.8475E+00,            5.4225E+00,            4.3269E+00,            3.3040E+00,            2.8766E+00,         5.0
2006-11-16T00:30:33.419,              1.4439E-01,              1.1459E-01,              7.4784E-02,              5.6105E-02,              4.1284E-02,              2.9563E-02,              2.0865E-02,              1.1041E-02,              5.5521E-03,              3.4029E-03,              2.3879E-03,              1.7783E-03,              1.3381E-03,         5.0,            5.6986E+01,            3.0545E+01,            1.6216E+01,            8.9920E+00,            8.0426E+00,            6.4549E+00,            5.1089E+00,            4.0751E+00,            3.1107E+00,            2.7078E+00,         5.0
2006-11-16T00:34:37.419,              1.3698E-01,              1.0872E-01,              7.8225E-02,              6.0086E-02,              4.5990E-02,              3.4384E-02,              2.4324E-02,              1.2285E-02,              6.0164E-03,              3.6891E-03,              2.5781E-03,              1.8921E-03,              1.3987E-03,         5.0,            1.4812E+01,            1.0068E+01,            8.5342E+00,            7.8893E+00,            7.0659E+00,            5.6774E+00,            4.4976E+00,            3.5901E+00,            2.7421E+00,            2.3878E+00,         5.0
2006-11-16T00:38:37.419,              1.3823E-01,              1.0971E-01,              7.4841E-02,              5.5996E-02,              4.4757E-02,              3.2933E-02,              2.3140E-02,              1.1851E-02,              5.8359E-03,              3.5632E-03,              2.4971E-03,              1.8580E-03,              1.3976E-03,         5.0,            4.7631E+01,            2.4292E+01,            1.1646E+01,            9.3470E+00,            8.3558E+00,            6.7032E+00,            5.3035E+00,            4.2290E+00,            3.2275E+00,            2.8088E+00,         5.0
2006-11-16T00:42:37.919,              1.2114E-01,              9.6135E-02,              5.7228E-02,              4.3424E-02,              3.3411E-02,              2.4099E-02,              1.6472E-02,              8.5065E-03,              4.2785E-03,              2.5255E-03,              1.7860E-03,              1.3720E-03,              1.0618E-03,         5.0,            8.0360E+01,            5.0441E+01,            2.7191E+01,            1.5842E+01,            8.2072E+00,            6.5884E+00,            5.2155E+00,            4.1607E+00,            3.1765E+00,            2.7652E+00,         5.0
2006-11-16T00:46:36.919,              1.3026E-01,              1.0339E-01,              7.1524E-02,              5.3169E-02,              4.1057E-02,              2.8961E-02,              1.9347E-02,              1.0136E-02,              5.0276E-03,              2.9672E-03,              2.0954E-03,              1.5948E-03,              1.2237E-03,         5.0,            6.4881E+01,            3.3195E+01,            1.5742E+01,            8.5516E+00,            7.6462E+00,            6.1349E+00,            4.8545E+00,            3.8715E+00,            2.9549E+00,            2.5718E+00,         5.0
2006-11-16T00:50:33.419,              1.6023E-01,              1.2717E-01,              8.2133E-02,              6.1787E-02,              4.6361E-02,              3.3546E-02,              2.3103E-02,              1.2093E-02,              5.9621E-03,              3.5016E-03,              2.4288E-03,              1.8091E-03,              1.3668E-03,         5.0,            5.9395E+01,            2.9877E+01,            1.3325E+01,            9.1371E+00,            8.1771E+00,            6.5659E+00,            5.1988E+00,            4.1480E+00,            3.1671E+00,            2.7573E+00,         5.0
2006-11-16T00:54:32.919,              1.3926E-01,              1.1053E-01,              7.2078E-02,              5.5219E-02,              4.2476E-02,              3.1919E-02,              2.2695E-02,              1.1732E-02,              5.8441E-03,              3.6328E-03,              2.5562E-03,              1.8946E-03,              1.4187E-03,         5.0,            4.2251E+01,            2.0589E+01,            9.8096E+00,            9.0641E+00,            8.1147E+00,            6.5177E+00,            5.1618E+00,            4.1193E+00,            3.1456E+00,            2.7389E+00,         5.0
2006-11-16T00:58:37.419,              1.5456E-01,              1.2266E-01,              8.0158E-02,              5.9482E-02,              4.5467E-02,              3.2447E-02,              2.2295E-02,              1.1824E-02,              5.8394E-03,              3.4867E-03,              2.4177E-03,              1.7830E-03,              1.3297E-03,         5.0,            7.5935E+01,            4.0461E+01,            2.1185E+01,            9.1676E+00,            8.1859E+00,            6.5604E+00,            5.1864E+00,            4.1330E+00,            3.1527E+00,            2.7427E+00,         5.0
