                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2004-10-08T00:00:03.589,              1.1855E-03,              9.4394E-04,              7.5389E-04,              5.0734E-04,              3.8698E-04,              2.4545E-04,              1.6434E-04,              8.9604E-05,              4.2937E-05,              1.9087E-05,              1.2600E-05,              7.7681E-06,              4.6251E-06,         5.0,            1.4785E+02,            2.7962E+01,            2.1605E-02,            1.9545E-02,            1.7470E-02,            1.4013E-02,            1.1086E-02,            8.8391E-03,            6.7452E-03,            5.8699E-03,         5.0
2004-10-08T00:03:27.089,              4.3055E-02,              3.4892E-02,              2.8576E-02,              2.3372E-02,              1.8971E-02,              1.5187E-02,              1.1360E-02,              5.2013E-03,              2.6707E-03,              1.9288E-03,              1.4720E-03,              1.1256E-03,              8.4789E-04,         5.0,            5.2669E+01,            3.3673E+01,            1.8668E+01,            1.2589E+01,            8.6985E+00,            5.5453E+00,            3.6051E+00,            2.7839E+00,            2.1264E+00,            1.8517E+00,         5.0
2004-10-08T00:06:55.590,              2.5862E-02,              2.1360E-02,              1.7949E-02,              1.5052E-02,              1.2482E-02,              1.0207E-02,              8.0519E-03,              3.4397E-03,              1.7212E-03,              1.3293E-03,              1.0730E-03,              8.5867E-04,              6.7683E-04,         5.0,            8.3838E+01,            5.3644E+01,            2.9505E+01,            1.8908E+01,            1.2780E+01,            8.0970E+00,            5.1504E+00,            3.4508E+00,            2.3422E+00,            2.0072E+00,         5.0
2004-10-08T00:10:19.590,              5.7417E-02,              4.5619E-02,              3.5961E-02,              2.9314E-02,              2.3740E-02,              1.8123E-02,              1.3043E-02,              6.2713E-03,              3.2248E-03,              2.2579E-03,              1.6680E-03,              1.2485E-03,              9.2421E-04,         5.0,            4.0579E+01,            2.5904E+01,            1.4295E+01,            1.0118E+01,            7.0706E+00,            4.5700E+00,            3.3824E+00,            2.6993E+00,            2.0612E+00,            1.7945E+00,         5.0
2004-10-08T00:13:43.090,              8.4814E-02,              6.7327E-02,              4.7979E-02,              3.8405E-02,              3.1012E-02,              2.2440E-02,              1.5761E-02,              7.9330E-03,              4.1364E-03,              2.7969E-03,              2.0290E-03,              1.4961E-03,              1.0954E-03,         5.0,            1.1848E+01,            8.0393E+00,            6.7972E+00,            6.2661E+00,            5.5976E+00,            4.4875E+00,            3.5482E+00,            2.8278E+00,            2.1571E+00,            1.8766E+00,         5.0
2004-10-08T00:17:07.090,              8.0902E-02,              6.4233E-02,              4.7908E-02,              3.8135E-02,              3.0802E-02,              2.2526E-02,              1.5867E-02,              7.8809E-03,              4.0900E-03,              2.7756E-03,              2.0216E-03,              1.4954E-03,              1.0953E-03,         5.0,            1.1867E+01,            8.0546E+00,            6.8132E+00,            6.2839E+00,            5.6159E+00,            4.5038E+00,            3.5622E+00,            2.8396E+00,            2.1665E+00,            1.8850E+00,         5.0
2004-10-08T00:20:31.090,              6.5620E-02,              5.2110E-02,              3.8820E-02,              3.1237E-02,              2.5253E-02,              1.9015E-02,              1.3582E-02,              6.6484E-03,              3.4585E-03,              2.3931E-03,              1.7657E-03,              1.3182E-03,              9.7458E-04,         5.0,            3.0761E+01,            1.9595E+01,            1.1139E+01,            8.1600E+00,            5.8090E+00,            4.4072E+00,            3.4891E+00,            2.7834E+00,            2.1248E+00,            1.8496E+00,         5.0
2004-10-08T00:23:51.090,              6.4506E-02,              5.1230E-02,              3.7340E-02,              3.0279E-02,              2.4478E-02,              1.8640E-02,              1.3349E-02,              6.5102E-03,              3.3884E-03,              2.3554E-03,              1.7349E-03,              1.2929E-03,              9.5346E-04,         5.0,            3.5654E+01,            2.2734E+01,            1.2616E+01,            9.1470E+00,            6.4455E+00,            4.2278E+00,            3.3496E+00,            2.6737E+00,            2.0419E+00,            1.7780E+00,         5.0
2004-10-08T00:27:15.090,              6.9212E-02,              5.4967E-02,              4.0454E-02,              3.2585E-02,              2.6342E-02,              1.9799E-02,              1.4128E-02,              6.9466E-03,              3.5837E-03,              2.4715E-03,              1.8172E-03,              1.3498E-03,              9.9479E-04,         5.0,            2.8229E+01,            1.7969E+01,            1.0242E+01,            7.5989E+00,            5.4604E+00,            4.3746E+00,            3.4617E+00,            2.7605E+00,            2.1068E+00,            1.8335E+00,         5.0
2004-10-08T00:32:11.090,              7.1075E-02,              5.6450E-02,              4.3341E-02,              3.4042E-02,              2.7205E-02,              1.9934E-02,              1.4092E-02,              7.0010E-03,              3.6152E-03,              2.4536E-03,              1.7895E-03,              1.3279E-03,              9.8074E-04,         5.0,            3.0319E+01,            1.9312E+01,            1.0914E+01,            8.0179E+00,            5.7266E+00,            4.3861E+00,            3.4724E+00,            2.7701E+00,            2.1147E+00,            1.8407E+00,         5.0
2004-10-08T00:35:35.090,              1.5122E-02,              1.2810E-02,              1.1107E-02,              9.5641E-03,              8.0804E-03,              6.6848E-03,              5.5012E-03,              2.2099E-03,              1.0883E-03,              8.9390E-04,              7.3611E-04,              6.0434E-04,              4.9082E-04,         5.0,            1.2015E+02,            7.6887E+01,            4.2013E+01,            2.6552E+01,            1.7414E+01,            1.0988E+01,            6.9524E+00,            4.6126E+00,            3.0693E+00,            2.4233E+00,         5.0
2004-10-08T00:38:58.590,              6.9753E-02,              5.5398E-02,              4.1969E-02,              3.3479E-02,              2.7066E-02,              2.0200E-02,              1.4350E-02,              7.0382E-03,              3.6395E-03,              2.4919E-03,              1.8255E-03,              1.3527E-03,              9.9525E-04,         5.0,            2.8111E+01,            1.7888E+01,            1.0173E+01,            7.5361E+00,            5.4423E+00,            4.3666E+00,            3.4549E+00,            2.7548E+00,            2.1023E+00,            1.8294E+00,         5.0
2004-10-08T00:42:22.590,              1.0465E-03,              8.3329E-04,              6.6555E-04,              4.4228E-04,              3.3418E-04,              2.4877E-04,              1.6200E-04,              8.5084E-05,              4.1814E-05,              1.9275E-05,              1.1562E-05,              6.7702E-06,              4.4691E-06,         5.0,            3.8660E-02,            2.5177E-02,            2.1270E-02,            1.9593E-02,            1.7491E-02,            1.4015E-02,            1.1077E-02,            8.8260E-03,            6.7317E-03,            5.8558E-03,         5.0
2004-10-08T00:45:43.590,              1.1744E-03,              9.3188E-04,              6.8950E-04,              4.5022E-04,              3.3613E-04,              2.5010E-04,              1.6274E-04,              8.5375E-05,              4.1927E-05,              1.9343E-05,              1.1608E-05,              6.8001E-06,              4.4903E-06,         5.0,            3.6853E-02,            2.4906E-02,            2.1079E-02,            1.9453E-02,            1.7396E-02,            1.3959E-02,            1.1046E-02,            8.8096E-03,            6.7241E-03,            5.8524E-03,         5.0
2004-10-08T00:49:07.590,              1.1744E-03,              9.3188E-04,              6.8950E-04,              4.5022E-04,              3.3613E-04,              2.5010E-04,              1.6274E-04,              8.5375E-05,              4.1927E-05,              1.9343E-05,              1.1608E-05,              6.8001E-06,              4.4903E-06,         5.0,            3.6853E-02,            2.4906E-02,            2.1079E-02,            1.9453E-02,            1.7396E-02,            1.3959E-02,            1.1046E-02,            8.8096E-03,            6.7241E-03,            5.8524E-03,         5.0
