                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2006-02-13T00:03:12.843,              1.2392E-01,              9.8335E-02,              6.0209E-02,              4.5174E-02,              3.5455E-02,              2.6262E-02,              1.8404E-02,              9.5603E-03,              4.7789E-03,              2.9697E-03,              2.0797E-03,              1.5291E-03,              1.1290E-03,         5.0,            6.9149E+01,            3.8385E+01,            2.2328E+01,            1.1719E+01,            6.6101E+00,            5.3003E+00,            4.1920E+00,            3.3417E+00,            2.5498E+00,            2.2187E+00,         5.0
2006-02-13T00:07:13.343,              1.3511E-01,              1.0724E-01,              7.2606E-02,              5.3230E-02,              4.1129E-02,              3.0085E-02,              2.0722E-02,              1.0631E-02,              5.1480E-03,              3.0550E-03,              2.1037E-03,              1.5392E-03,              1.1372E-03,         5.0,            5.5443E+01,            2.7785E+01,            1.2327E+01,            6.5935E+00,            5.9080E+00,            4.7488E+00,            3.7632E+00,            3.0045E+00,            2.2952E+00,            1.9990E+00,         5.0
2006-02-13T00:11:13.343,              1.3416E-01,              1.0648E-01,              6.7053E-02,              5.0030E-02,              3.8501E-02,              2.7603E-02,              1.9167E-02,              1.0007E-02,              4.9471E-03,              3.0232E-03,              2.1070E-03,              1.5459E-03,              1.1411E-03,         5.0,            6.8580E+01,            3.8006E+01,            2.2176E+01,            1.1903E+01,            6.6289E+00,            5.3154E+00,            4.2039E+00,            3.3513E+00,            2.5570E+00,            2.2250E+00,         5.0
2006-02-13T00:15:13.343,              1.1760E-01,              9.3320E-02,              5.5575E-02,              4.1823E-02,              3.2721E-02,              2.4206E-02,              1.6928E-02,              8.7078E-03,              4.3397E-03,              2.6537E-03,              1.8502E-03,              1.3619E-03,              1.0069E-03,         5.0,            5.0547E+01,            3.1363E+01,            1.6875E+01,            9.6352E+00,            5.7925E+00,            4.6469E+00,            3.6766E+00,            2.9317E+00,            2.2374E+00,            1.9472E+00,         5.0
2006-02-13T00:19:12.843,              9.4118E-02,              7.4688E-02,              4.5751E-02,              3.4759E-02,              2.7818E-02,              2.0581E-02,              1.4295E-02,              7.3091E-03,              3.6650E-03,              2.2465E-03,              1.5971E-03,              1.2110E-03,              9.2108E-04,         5.0,            5.3677E+01,            3.3429E+01,            1.7967E+01,            1.0317E+01,            5.7474E+00,            4.6164E+00,            3.6561E+00,            2.9177E+00,            2.2281E+00,            1.9400E+00,         5.0
2006-02-13T00:23:13.343,              9.9712E-02,              7.9125E-02,              5.0401E-02,              3.9116E-02,              3.1557E-02,              2.4205E-02,              1.7239E-02,              8.4766E-03,              4.2764E-03,              2.7010E-03,              1.9103E-03,              1.4192E-03,              1.0582E-03,         5.0,            5.0359E+01,            2.7540E+01,            1.5594E+01,            7.8436E+00,            6.0644E+00,            4.8639E+00,            3.8474E+00,            3.0674E+00,            2.3407E+00,            2.0368E+00,         5.0
2006-02-13T00:27:12.843,              9.6966E-02,              7.6976E-02,              5.3366E-02,              4.1994E-02,              3.3892E-02,              2.6116E-02,              1.9081E-02,              9.3236E-03,              4.6266E-03,              2.9699E-03,              2.1154E-03,              1.5687E-03,              1.1673E-03,         5.0,            2.2906E+01,            1.1286E+01,            7.3813E+00,            6.8165E+00,            6.0992E+00,            4.8966E+00,            3.8764E+00,            3.0925E+00,            2.3610E+00,            2.0553E+00,         5.0
2006-02-13T00:31:13.843,              1.1804E-01,              9.3668E-02,              5.8558E-02,              4.4318E-02,              3.5500E-02,              2.6285E-02,              1.8489E-02,              9.4988E-03,              4.7696E-03,              2.9679E-03,              2.0804E-03,              1.5325E-03,              1.1348E-03,         5.0,            7.4030E+01,            4.6654E+01,            2.5128E+01,            1.4718E+01,            7.7434E+00,            6.2117E+00,            4.9145E+00,            3.9188E+00,            2.9908E+00,            2.6029E+00,         5.0
2006-02-13T00:35:13.343,              1.0314E-01,              8.1861E-02,              5.6392E-02,              4.2532E-02,              3.3300E-02,              2.4861E-02,              1.7401E-02,              8.6248E-03,              4.2633E-03,              2.6243E-03,              1.8477E-03,              1.3720E-03,              1.0273E-03,         5.0,            7.9759E+01,            4.3311E+01,            2.3812E+01,            1.1341E+01,            6.0750E+00,            4.8718E+00,            3.8534E+00,            3.0721E+00,            2.3443E+00,            2.0400E+00,         5.0
2006-02-13T00:39:13.343,              1.0136E-01,              8.0434E-02,              5.0429E-02,              3.8798E-02,              3.0481E-02,              2.2588E-02,              1.6040E-02,              8.2319E-03,              4.1837E-03,              2.6880E-03,              1.9129E-03,              1.4144E-03,              1.0524E-03,         5.0,            5.3801E+01,            3.3561E+01,            1.7981E+01,            1.0471E+01,            6.1841E+00,            4.9633E+00,            3.9283E+00,            3.1333E+00,            2.3918E+00,            2.0819E+00,         5.0
2006-02-13T00:45:21.343,              1.4402E-01,              1.1429E-01,              7.0168E-02,              5.2952E-02,              4.0158E-02,              2.9130E-02,              2.0452E-02,              1.0614E-02,              5.3063E-03,              3.1945E-03,              2.2009E-03,              1.6072E-03,              1.1830E-03,         5.0,            3.8923E+01,            2.3555E+01,            1.2681E+01,            7.0138E+00,            6.2660E+00,            5.0313E+00,            3.9835E+00,            3.1783E+00,            2.4266E+00,            2.1126E+00,         5.0
2006-02-13T00:49:21.343,              1.4043E-01,              1.1144E-01,              6.8694E-02,              4.9918E-02,              3.7928E-02,              2.7138E-02,              1.8803E-02,              9.8473E-03,              4.8849E-03,              2.9153E-03,              2.0025E-03,              1.4628E-03,              1.0770E-03,         5.0,            5.8126E+01,            3.4356E+01,            1.8571E+01,            1.0326E+01,            6.3233E+00,            5.0692E+00,            4.0084E+00,            3.1948E+00,            2.4373E+00,            2.1206E+00,         5.0
2006-02-13T00:53:17.343,              1.1085E-01,              8.7986E-02,              5.5419E-02,              4.1430E-02,              3.3047E-02,              2.4921E-02,              1.7682E-02,              8.9157E-03,              4.4095E-03,              2.7275E-03,              1.9126E-03,              1.4127E-03,              1.0493E-03,         5.0,            5.2754E+01,            3.0206E+01,            1.6916E+01,            9.0934E+00,            6.1352E+00,            4.9242E+00,            3.8975E+00,            3.1089E+00,            2.3732E+00,            2.0657E+00,         5.0
